Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"searchResults = findWebElements(findTestObject(""Object Repository/home_page/product_search_result""), 10)",Chrome 131.0.0.0,Verify that all results match the valid search keywords,,27-11-2024 17:56:25,27-11-2024 17:56:25,0.020s,PASSED
searchKeywordsText = common.TextUtilKeyword.removeAccents(validSearchKeywords.toLowerCase()),Chrome 131.0.0.0,,,27-11-2024 17:56:25,27-11-2024 17:56:25,0.000s,PASSED
"searchResults.eachWithIndex({ org.openqa.selenium.WebElement element, int index -> ... })",Chrome 131.0.0.0,,,27-11-2024 17:56:25,27-11-2024 17:56:25,0.074s,PASSED
"markPassed(""All results match the valid search keyword ""searchKeywords"""")",Chrome 131.0.0.0,,,27-11-2024 17:56:25,27-11-2024 17:56:25,0.000s,PASSED
delay(5),Chrome 131.0.0.0,Return to Home Page,,27-11-2024 17:56:25,27-11-2024 17:56:30,5.002s,PASSED
"click(findTestObject(""Object Repository/common/properties/Class/rel-script_and_contains_class"", [""rel-script"":""spotlight-search-close"", ""class"":""homepage-search__submit""]))",Chrome 131.0.0.0,,,27-11-2024 17:56:30,27-11-2024 17:56:30,0.071s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:56:30,27-11-2024 17:56:33,3.011s,PASSED
"""===============================Entering invalid keys to search related products=================================""",Chrome 131.0.0.0,,,27-11-2024 17:56:33,27-11-2024 17:56:33,0.001s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box one more time,,27-11-2024 17:56:33,27-11-2024 17:56:33,0.065s,PASSED
delay(4),Chrome 131.0.0.0,,,27-11-2024 17:56:33,27-11-2024 17:56:37,4.006s,PASSED
"sendKeys(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""input-spotlight""]), invalidSearchKeywords)",Chrome 131.0.0.0,Enter invalid search keywords,,27-11-2024 17:56:37,27-11-2024 17:56:37,0.031s,PASSED
delay(10),Chrome 131.0.0.0,,,27-11-2024 17:56:37,27-11-2024 17:56:47,10.010s,PASSED
"common.UtilKeyword.takeScreenShot(""unauthen_invalid_search"")",Chrome 131.0.0.0,,,27-11-2024 17:56:47,27-11-2024 17:56:47,0.253s,PASSED
"if (waitForElementVisible(findTestObject(""Object Repository/common/properties/Text/contains_text"", [""text"":""Không tìm thấy kết quả phù hợp!""]), 10))",Chrome 131.0.0.0,"The system shows the message: ""Không tìm thấy kết quả phù hợp!"" when entering invalid search keywords",,27-11-2024 17:56:47,27-11-2024 17:56:47,0.025s,PASSED
