Water Control Zone	River	Station	Dates	Sample No	5-Day Biochemical Oxygen Demand (mg/L)	Aluminium (?g/L)	Ammonia-Nitrogen (mg/L)	Anionic Surfactants (as Manoxol OT) (mg/L)	Antimony (?g/L)	Arsenic (?g/L)	Barium (?g/L)	Beryllium (?g/L)	Boron (?g/L)	Cadmium (?g/L)	Chemical Oxygen Demand (mg/L)	Chloride (mg/L)	Chlorophyll-?? (mg/m³)	Chromium (?g/L)	Conductivity (?S/cm)	Copper (?g/L)	Cyanide (mg/L)	Dissolved Oxygen (%saturation)	Dissolved Oxygen (mg/L)	Faecal Coliforms (counts/100mL)	Flow (m³/s)	Fluoride (mg/L)	Free Hydrogen Sulphide (mg/L)	Iron (?g/L)	Lead (?g/L)	Manganese (?g/L)	Mercury (?g/L)	Molybdenum (?g/L)	Nickel (?g/L)	Nitrate-Nitrogen (mg/L)	Nitrite-Nitrogen (mg/L)	Oil and Grease (mg/L)	Orthophosphate Phosphorus (mg/L)	pH	Phaeopigment (mg/m³)	Salinity (psu)	Silica (as SiO?) (mg/L)	Silver (?g/L)	Sulphide (mg/L)	Suspended solids (mg/L)	Thallium (?g/L)	Total Kjeldahl Nitrogen (mg/L)	Total Organic Carbon (mg/L)	Total Phosphorus (mg/L)	Total Solids (mg/L)	Total Volatile Solids (mg/L)	Turbidity (NTU)	Vanadium (?g/L)	Water Temperature (°C)	Zinc (?g/L)	??. ????????  (counts/100mL)
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	11/18/2023	1	<0.1	<50	0.005	<0.05	<1	<1	8	<1	<50	<0.1	6	95	0.9	<1	346	1	<0.01	101	9.6	2000	null	0.4	<0.01	70	<1	<10	<1	<2	1	0.47	0.014	<0.5	0.024	7.9	0.6	0.2	17	<1	<0.02	3.3	<1	0.24	2	0.06	330	79	4.1	<2	18	<10	690
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	12/14/2023	1	1	<50	0.014	<0.05	<1	<1	9	<1	50	<0.1	9	180	0.8	<1	659	1	<0.01	101	8.8	11000	null	0.4	<0.01	70	<1	<10	<1	<2	1	0.5	0.052	<0.5	0.038	7.9	<0.2	0.3	14	<1	<0.02	20	<1	0.47	4	0.09	560	120	3.1	<2	22.3	10	2600
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	1/5/2023	1	0.8	<50	0.022	<0.05	<1	<1	8	<1	<50	<0.1	11	<10	1.1	<1	139	2	<0.01	105	10	750	0	0.6	<0.01	<50	<1	<10	<1	<2	1	0.14	0.004	<0.5	0.036	8.2	0.3	0.1	19	<1	<0.02	3.4	<1	0.29	2	0.08	160	70	0.5	<2	17.7	<10	100
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	2/23/2023	1	1.2	<50	0.029	<0.05	<1	<1	8	<1	<50	<0.1	7	<10	4.3	<1	153	2	<0.01	122	11.7	2700	0	0.7	<0.01	<50	<1	<10	<1	<2	1	<0.002	0.003	<0.5	0.035	9	4.3	0.1	17	<1	<0.02	2.5	<1	0.28	3	0.07	180	110	0.7	<2	17.3	<10	1700
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	3/16/2023	1	1.3	<50	0.031	<0.05	<1	<1	7	<1	<50	<0.1	9	10	6.2	<1	180	2	<0.01	130	11.7	4400	null	0.8	<0.01	<50	<1	<10	<1	2	<1	0.043	<0.002	<0.5	0.088	9.4	4	0.1	17	<1	<0.02	5.3	<1	0.63	3	0.16	120	80	0.8	<2	20.5	<10	2500
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	4/1/2023	1	0.1	<50	0.042	<0.05	<1	<1	13	<1	<50	<0.1	13	10	0.7	<1	222	2	<0.01	114	10.3	3900	0	0.7	<0.01	<50	<1	<10	<1	2	1	0.33	0.045	<0.5	0.078	8.8	1.7	0.1	22	<1	<0.02	2.2	<1	0.38	4	0.12	250	48	1.1	<2	20.4	<10	1300
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	5/11/2023	1	2.5	<50	0.81	0.14	<1	<1	15	<1	<50	<0.1	17	16	1.3	<1	224	2	<0.01	109	9.2	1000000	0	0.6	<0.01	<50	<1	<10	<1	3	2	0.55	0.02	<0.5	0.14	8.4	0.7	0.1	18	<1	<0.02	18	<1	1.4	7	0.17	180	74	2.2	<2	23.5	<10	780000
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	6/15/2023	1	0.8	280	0.033	<0.05	<1	<1	8	<1	<50	<0.1	11	<10	1.1	<1	124	2	<0.01	101	8.3	180000	0.022	0.3	<0.01	150	<1	<10	<1	<2	1	0.53	0.015	<0.5	0.016	7.7	0.6	0.1	18	<1	<0.02	12	<1	0.33	5	0.06	210	96	27.5	<2	25.4	<10	160000
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	7/27/2023	1	0.6	<50	0.006	<0.05	<1	<1	9	<1	<50	<0.1	6	<10	1.7	<1	205	2	<0.01	101	8	11000	0	0.4	<0.01	110	<1	<10	<1	<2	<1	0.23	0.005	<0.5	0.049	8.3	0.3	0.1	20	<1	<0.02	2.3	<1	0.2	3	0.07	160	69	3.3	<2	27.8	<10	6000
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	8/24/2023	1	0.5	60	0.007	<0.05	<1	<1	8	<1	<50	<0.1	14	<10	1.7	<1	152	2	<0.01	102	8.2	50000	0.004	0.4	<0.01	170	<1	10	<1	<2	<1	0.19	0.007	<0.5	0.019	8	0.9	0.1	20	<1	<0.02	3.2	<1	0.11	3	0.04	140	76	4.7	<2	26.6	<10	30000
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	9/23/2023	1	0.6	100	0.015	<0.05	<1	<1	6	<1	<50	<0.1	11	<10	0.7	<1	109	1	<0.01	100	8.1	870000	0.01	0.3	<0.01	180	<1	<10	<1	<2	<1	0.14	0.014	<0.5	0.007	7.6	<0.2	0.1	18	<1	<0.02	2.3	<1	0.25	2	0.03	100	64	7.4	<2	26.4	<10	210000
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	10/19/2023	1	0.3	90	0.01	<0.05	<1	<1	5	<1	<50	<0.1	8	<10	0.6	<1	92	1	<0.01	101	8.5	36000	0.013	0.2	<0.01	130	<1	<10	<1	<2	<1	0.2	0.008	<0.5	0.01	7.6	0.3	0	17	<1	<0.02	6.2	<1	0.23	2	0.04	93	36	8.5	<2	23.9	<10	12000
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	11/18/2023	1	<0.1	70	0.01	<0.05	<1	<1	4	<1	<50	<0.1	5	<10	1.3	<1	102	1	<0.01	101	9.6	2000	0.002	0.4	<0.01	110	<1	10	<1	<2	<1	0.16	0.005	<0.5	0.014	7.8	<0.2	0.1	18	<1	<0.02	2	<1	0.16	2	0.06	120	56	6.5	<2	17.5	<10	1300
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	12/14/2023	1	<0.1	130	0.006	<0.05	<1	<1	5	<1	<50	<0.1	6	10	1.1	<1	120	1	<0.01	103	9.1	6900	0.006	0.4	<0.01	160	<1	<10	<1	<2	1	0.21	0.005	<0.5	0.025	8	0.9	0.1	17	<1	<0.02	2.6	<1	0.2	2	0.05	110	72	6.9	<2	21.9	10	6300
Deep Bay	Ha Pak Nai Stream	DB1	1/27/2023	1	<0.1	50	0.008	<0.05	<1	<1	2	<1	<50	<0.1	3	<10	<0.2	<1	34	<1	<0.01	103	10.4	270	0.006	<0.2	<0.01	<50	<1	<10	<1	<2	<1	0.28	0.006	<0.5	0.006	7.4	<0.2	0	25	<1	<0.02	2	<1	<0.05	<1	<0.02	80	50	4	<2	15	<10	170
Deep Bay	Ha Pak Nai Stream	DB1	2/1/2023	1	0.6	50	0.023	<0.05	<1	<1	2	<1	<50	<0.1	6	<10	0.2	<1	36	<1	<0.01	102	9.8	180	0.004	0.2	<0.01	<50	<1	<10	<1	<2	1	0.31	0.002	<0.5	<0.002	7.4	0.2	0	22	<1	<0.02	0.8	<1	0.13	1	<0.02	120	56	4.1	<2	17.3	<10	130
Deep Bay	Ha Pak Nai Stream	DB1	3/15/2023	1	0.3	<50	0.008	<0.05	<1	<1	2	<1	<50	<0.1	3	<10	1.3	<1	41	<1	<0.01	104	9.4	110	0.008	<0.2	<0.01	<50	<1	<10	<1	<2	1	0.26	0.002	<0.5	0.002	7.5	1.6	0	23	<1	<0.02	2.8	<1	0.11	1	0.02	130	98	4.2	<2	20.4	<10	18
Deep Bay	Ha Pak Nai Stream	DB1	4/28/2023	1	0.2	130	0.014	<0.05	<1	<1	2	<1	<50	<0.1	3	27	<0.2	<1	44	<1	<0.01	101	8.3	260	0.01	<0.2	<0.01	50	<1	<10	<1	<2	<1	0.25	0.012	<0.5	0.007	7.3	<0.2	0	23	<1	<0.02	5.2	<1	0.11	1	<0.02	140	52	16.7	<2	25.3	<10	52
Deep Bay	Ha Pak Nai Stream	DB1	5/5/2023	1	0.1	60	0.01	<0.05	<1	<1	2	<1	<50	<0.1	6	70	0.8	<1	48	<1	<0.01	102	8.1	1400	0.031	0.2	<0.01	50	<1	<10	<1	<2	<1	0.33	0.006	<0.5	0.009	7.4	<0.2	0	17	<1	<0.02	3.5	<1	0.08	1	<0.02	180	54	13.2	<2	26.9	<10	280
Deep Bay	Ha Pak Nai Stream	DB1	6/28/2023	1	0.5	120	0.009	<0.05	<1	<1	2	<1	<50	<0.1	3	<10	0.8	<1	40	<1	<0.01	100	7.8	1100	0.042	<0.2	<0.01	60	<1	<10	<1	<2	<1	0.44	<0.002	<0.5	0.009	7.5	0.3	0	20	<1	<0.02	4	<1	0.09	1	<0.02	54	18	9.3	<2	28	10	160
Deep Bay	Ha Pak Nai Stream	DB1	7/5/2023	1	0.2	90	<0.005	<0.05	<1	<1	2	<1	<50	<0.1	5	<10	0.6	<1	69	<1	<0.01	99	7.6	450	0.069	<0.2	<0.01	<50	<1	<10	<1	<2	<1	0.44	<0.002	<0.5	0.01	8.1	0.4	0	22	<1	<0.02	43	<1	0.09	1	<0.02	130	20	8.9	<2	28.8	<10	140
Deep Bay	Ha Pak Nai Stream	DB1	8/25/2023	1	0.3	70	0.009	<0.05	<1	<1	1	<1	<50	<0.1	4	<10	<0.2	<1	42	<1	<0.01	101	7.8	890	0.045	<0.2	<0.01	<50	<1	<10	<1	<2	<1	0.37	0.002	<0.5	0.006	7.1	<0.2	0	20	<1	<0.02	8.2	<1	<0.05	1	<0.02	100	88	11.4	<2	28.7	<10	180
Deep Bay	Ha Pak Nai Stream	DB1	9/27/2023	1	<2	70	<0.005	<0.05	<1	<1	2	<1	<50	<0.1	6	<10	0.3	<1	41	<1	<0.01	100	7.9	1800	0.003	<0.2	<0.01	<50	<1	<10	<1	<2	<1	0.42	<0.002	<0.5	0.005	6.9	0.3	0	20	<1	<0.02	36	<1	0.11	1	<0.02	120	23	4.8	<2	27.4	<10	19
Deep Bay	Ha Pak Nai Stream	DB1	10/4/2023	1	<0.1	60	<0.005	<0.05	<1	<1	1	<1	<50	<0.1	4	10	0.5	<1	42	<1	<0.01	100	7.9	3200	0.011	<0.2	<0.01	<50	<1	<10	<1	<2	<1	0.48	<0.002	<0.5	0.009	7.1	<0.2	0	19	<1	<0.02	3	<1	0.07	<1	<0.02	76	24	4.5	<2	27.6	<10	100
Deep Bay	Ha Pak Nai Stream	DB1	11/20/2023	1	<0.1	<50	0.007	<0.05	<1	<1	3	<1	<50	<0.1	3	<10	0.5	<1	37	<1	<0.01	99	9.3	480	0.045	<0.2	<0.01	<50	<1	<10	<1	<2	<1	0.37	0.002	<0.5	0.009	7.3	<0.2	0	20	<1	<0.02	14	<1	<0.05	<1	<0.02	110	34	8.9	<2	18.3	<10	150
Deep Bay	Ha Pak Nai Stream	DB1	12/1/2023	1	<0.1	50	0.006	<0.05	<1	<1	1	<1	<50	<0.1	<2	<10	0.3	<1	40	<1	<0.01	100	9	1200	0.028	<0.2	<0.01	<50	<1	<10	<1	<2	<1	0.32	<0.002	<0.5	0.011	7.6	<0.2	0	20	<1	<0.02	5.8	<1	<0.05	<1	<0.02	100	61	15	<2	20.3	<10	150
Deep Bay	Tai Shui Hang Stream	DB2	1/27/2023	1	<0.1	<50	0.013	<0.05	<1	<1	2	<1	<50	<0.1	3	34	0.4	<1	107	<1	<0.01	101	10.1	260	0.012	0.3	<0.01	<50	<1	<10	<1	<2	<1	0.11	0.004	<0.5	0.006	7.5	0.2	0.1	25	<1	<0.02	2.1	<1	0.07	<1	<0.02	160	73	1.7	<2	15.3	<10	80
Deep Bay	Tai Shui Hang Stream	DB2	2/1/2023	1	0.2	<50	0.016	<0.05	<1	<1	2	<1	<50	<0.1	6	<10	2	<1	52	<1	<0.01	102	9.7	73	0.006	0.3	<0.01	<50	<1	10	<1	<2	<1	0.13	0.003	<0.5	<0.002	7.6	0.3	0	22	<1	<0.02	1.1	<1	0.07	2	<0.02	100	31	1.8	<2	18	<10	59
Deep Bay	Tai Shui Hang Stream	DB2	3/15/2023	1	0.6	<50	0.007	<0.05	<1	<1	2	<1	<50	<0.1	3	<10	1.5	<1	85	<1	<0.01	106	9.2	410	null	0.2	<0.01	<50	<1	<10	<1	<2	1	0.051	0.002	<0.5	<0.002	7.6	0.6	0	20	<1	<0.02	0.5	<1	0.16	<1	0.02	56	15	1.1	<2	22.5	<10	130
Deep Bay	Tai Shui Hang Stream	DB2	4/28/2023	1	1	<50	0.32	<0.05	<1	1	4	<1	<50	<0.1	13	<10	0.7	<1	101	<1	<0.01	86	6.8	630	0.016	0.3	<0.01	310	<1	450	<1	<2	<1	0.094	0.008	<0.5	0.005	7.4	<0.2	0	22	<1	<0.02	2.5	<1	0.46	3	<0.02	130	30	4.2	<2	27.5	<10	130
Deep Bay	Tai Shui Hang Stream	DB2	5/5/2023	1	0.6	<50	0.1	0.05	<1	<1	3	<1	<50	<0.1	5	38	1.2	<1	193	<1	<0.01	86	6.7	2700	0.072	0.3	<0.01	110	<1	140	<1	<2	<1	0.27	0.006	<0.5	0.008	7.4	<0.2	0.1	18	<1	<0.02	6.3	<1	0.35	2	<0.02	140	52	3	<2	28.4	<10	120
Deep Bay	Tai Shui Hang Stream	DB2	6/28/2023	1	0.3	60	0.024	<0.05	<1	<1	3	<1	<50	<0.1	7	<10	<0.2	<1	60	<1	<0.01	97	7.5	2900	0.3	<0.2	<0.01	80	<1	30	<1	<2	<1	0.33	0.005	<0.5	0.013	7.7	<0.2	0	20	<1	<0.02	2.2	<1	0.1	2	<0.02	62	33	6.7	<2	28.6	<10	180
Deep Bay	Tai Shui Hang Stream	DB2	7/5/2023	1	0.6	<50	0.047	<0.05	<1	1	14	<1	670	<0.1	16	3000	3.6	<1	6104	2	<0.01	96	7.2	29000	2.2	0.3	<0.01	<50	<1	30	<1	3	2	0.54	0.038	<0.5	0.022	7.8	0.9	3	18	<1	<0.02	11	<1	0.18	3	0.03	7100	1500	7	<2	29.8	<10	15000
Deep Bay	Tai Shui Hang Stream	DB2	8/25/2023	1	<0.1	<50	0.012	<0.05	<1	<1	2	<1	<50	<0.1	6	<10	0.6	<1	62	<1	<0.01	99	7.6	2300	0.138	<0.2	<0.01	70	<1	20	<1	<2	<1	0.3	0.003	<0.5	0.006	7.6	0.7	0	20	<1	<0.02	7	<1	0.07	1	<0.02	110	57	9.5	<2	29.4	20	270
Deep Bay	Tai Shui Hang Stream	DB2	9/21/2023	1	2	<50	0.13	<0.05	<1	<1	3	<1	<50	<0.1	8	10	0.3	<1	70	<1	<0.01	99	7.6	880	0.3	<0.2	<0.01	100	<1	30	<1	<2	1	0.4	0.005	<0.5	0.015	7.4	0.3	0	20	<1	<0.02	1.5	<1	0.23	2	<0.02	61	38	7.7	<2	28.9	<10	180
Deep Bay	Tai Shui Hang Stream	DB2	10/4/2023	1	<0.1	<50	<0.005	<0.05	<1	<1	2	<1	<50	<0.1	6	<10	0.3	<1	74	<1	<0.01	101	7.9	2500	0.396	<0.2	<0.01	120	<1	10	<1	<2	<1	0.31	<0.002	<0.5	0.01	7.4	<0.2	0	20	<1	<0.02	1.4	<1	0.13	1	<0.02	66	9	2.9	<2	28.2	<10	120
Deep Bay	Tai Shui Hang Stream	DB2	11/20/2023	1	0.1	<50	<0.005	<0.05	<1	<1	2	<1	<50	<0.1	2	<10	0.3	<1	46	<1	<0.01	101	9.4	240	0.024	<0.2	<0.01	<50	<1	20	<1	<2	<1	0.24	<0.002	<0.5	0.013	7.6	<0.2	0	20	<1	<0.02	0.9	<1	0.09	<1	<0.02	96	38	2.3	<2	19	<10	54
Deep Bay	Tai Shui Hang Stream	DB2	12/1/2023	1	<0.1	<50	<0.005	<0.05	<1	<1	1	<1	<50	<0.1	<2	<10	0.6	<1	64	<1	<0.01	101	9	1600	1.932	0.2	<0.01	60	<1	20	<1	<2	<1	0.19	0.003	<0.5	0.011	7.9	<0.2	0	20	<1	<0.02	1.1	<1	0.09	<1	<0.02	100	54	2.3	<2	20.8	<10	73
Deep Bay	Pak Nai Stream	DB3	1/27/2023	1	<0.1	<50	0.014	<0.05	<1	<1	4	<1	<50	<0.1	3	17	0.3	<1	53	<1	<0.01	101	10	400	0.073	<0.2	<0.01	<50	<1	30	<1	<2	<1	0.23	0.005	<0.5	0.005	7	0.3	0	25	<1	<0.02	2	<1	0.05	<1	<0.02	100	56	3	<2	15.8	<10	100
Deep Bay	Pak Nai Stream	DB3	2/1/2023	1	0.2	<50	0.025	<0.05	<1	<1	3	<1	<50	<0.1	4	<10	0.5	<1	56	<1	<0.01	101	9.5	480	0.059	<0.2	<0.01	<50	<1	30	<1	<2	<1	0.25	0.002	<0.5	<0.002	7	0.2	0	22	<1	<0.02	2.2	<1	0.07	2	<0.02	99	30	2.8	<2	18.2	<10	210
Deep Bay	Pak Nai Stream	DB3	3/15/2023	1	0.9	<50	0.026	<0.05	<1	<1	5	<1	<50	<0.1	6	<10	1.5	<1	91	<1	<0.01	106	9.4	1200	0.005	0.3	<0.01	<50	<1	40	<1	<2	<1	0.19	0.003	<0.5	<0.002	7.1	1.4	0	22	<1	<0.02	21	<1	0.28	1	0.03	140	73	6.1	<2	21.6	<10	310
Deep Bay	Pak Nai Stream	DB3	4/28/2023	1	<0.1	<50	0.032	<0.05	<1	<1	4	<1	<50	<0.1	3	17	0.3	<1	106	<1	<0.01	99	7.9	2300	0.092	<0.2	<0.01	<50	<1	50	<1	<2	<1	0.2	0.006	<0.5	0.006	7	0.3	0.1	23	<1	<0.02	7.5	<1	0.16	1	<0.02	130	42	11.5	<2	26.6	<10	120
Deep Bay	Pak Nai Stream	DB3	5/5/2023	1	0.7	<50	0.02	<0.05	<1	<1	3	<1	<50	<0.1	3	17	1.3	<1	101	<1	<0.01	104	8.1	2500	0.004	0.2	<0.01	<50	<1	30	<1	<2	1	0.27	0.004	<0.5	0.008	7.2	0.9	0	18	<1	<0.02	6.2	<1	0.21	1	<0.02	150	84	9.6	<2	28.2	<10	600
Deep Bay	Pak Nai Stream	DB3	6/28/2023	1	<0.1	60	0.039	<0.05	<1	<1	4	<1	<50	<0.1	5	<10	0.3	<1	69	<1	<0.01	95	7.4	3200	0.235	<0.2	<0.01	60	<1	40	<1	<2	<1	0.32	<0.002	<0.5	0.008	7.2	0.2	0	20	<1	<0.02	0.8	<1	0.11	2	<0.02	58	38	8.3	<2	28	10	350
Deep Bay	Pak Nai Stream	DB3	7/5/2023	1	0.1	<50	0.018	<0.05	<1	<1	4	<1	<50	<0.1	5	<10	0.7	<1	78	<1	<0.01	95	7.2	13000	0.05	<0.2	<0.01	<50	<1	40	<1	<2	<1	0.32	<0.002	<0.5	0.013	7.3	0.6	0	23	<1	<0.02	7.1	<1	0.13	1	<0.02	100	76	11.8	<2	29.9	<10	1000
Deep Bay	Pak Nai Stream	DB3	8/25/2023	1	<0.1	<50	0.016	<0.05	<1	<1	4	<1	<50	<0.1	4	<10	0.5	<1	65	<1	<0.01	100	7.7	1400	0.042	<0.2	<0.01	<50	<1	30	<1	<2	<1	0.3	<0.002	<0.5	0.005	6.9	0.7	0	20	<1	<0.02	6.2	<1	0.07	<1	<0.02	96	54	8	<2	29.2	<10	240
Deep Bay	Pak Nai Stream	DB3	9/21/2023	1	0.3	<50	0.018	<0.05	<1	<1	4	<1	<50	<0.1	2	<10	0.5	<1	63	<1	<0.01	100	7.7	900	0.259	<0.2	<0.01	60	<1	40	<1	<2	1	0.36	<0.002	<0.5	0.013	6.9	<0.2	0	19	<1	<0.02	3.4	<1	0.18	<1	<0.02	110	47	6.7	<2	29.1	<10	120
Deep Bay	Pak Nai Stream	DB3	10/4/2023	1	<0.1	<50	0.026	<0.05	<1	<1	3	<1	<50	<0.1	6	<10	<0.2	<1	54	<1	<0.01	98	7.7	4300	0.102	<0.2	<0.01	<50	<1	30	<1	<2	<1	0.34	<0.002	<0.5	0.009	6.8	<0.2	0	20	<1	<0.02	5.4	<1	0.13	<1	<0.02	95	15	4.5	<2	28	<10	460
Deep Bay	Pak Nai Stream	DB3	11/20/2023	1	0.2	<50	0.013	<0.05	<1	<1	3	<1	<50	<0.1	2	<10	0.4	<1	51	<1	<0.01	99	9.1	1200	0.108	<0.2	<0.01	<50	<1	30	<1	<2	<1	0.3	<0.002	<0.5	0.013	6.8	0.2	0	20	<1	<0.02	1.9	<1	0.06	<1	0.02	96	37	2.6	<2	19.6	<10	410
Deep Bay	Pak Nai Stream	DB3	12/1/2023	1	<0.1	<50	0.016	<0.05	<1	<1	3	<1	<50	<0.1	<2	<10	0.3	<1	54	<1	<0.01	97	8.8	3600	0.331	<0.2	<0.01	<50	<1	20	<1	<2	<1	0.26	<0.002	<0.5	0.011	7	<0.2	0	19	<1	<0.02	1.3	<1	0.07	<1	<0.02	96	71	3.7	<2	20.4	<10	1100
Deep Bay	Sheung Pak Nai Stream	DB5	1/27/2023	1	0.5	<50	0.047	<0.05	<1	<1	3	<1	<50	<0.1	3	<10	<0.2	<1	68	<1	<0.01	104	10.2	390	0.052	0.2	<0.01	60	<1	50	<1	<2	<1	0.16	0.009	<0.5	0.006	7.6	0.4	0	24	<1	<0.02	1.2	<1	0.09	<1	<0.02	120	63	3.8	<2	16.3	<10	100
