Water Control Zone	River	Station	Dates	Sample No	5-Day Biochemical Oxygen Demand (mg/L)	Aluminium (?g/L)	Ammonia-Nitrogen (mg/L)	Anionic Surfactants (as Manoxol OT) (mg/L)	Antimony (?g/L)	Arsenic (?g/L)	Barium (?g/L)	Beryllium (?g/L)	Boron (?g/L)	Cadmium (?g/L)	Chemical Oxygen Demand (mg/L)	Chloride (mg/L)	Chlorophyll-?? (mg/m³)	Chromium (?g/L)	Conductivity (?S/cm)	Copper (?g/L)	Cyanide (mg/L)	Dissolved Oxygen (%saturation)	Dissolved Oxygen (mg/L)	Faecal Coliforms (counts/100mL)	Flow (m³/s)	Fluoride (mg/L)	Free Hydrogen Sulphide (mg/L)	Iron (?g/L)	Lead (?g/L)	Manganese (?g/L)	Mercury (?g/L)	Molybdenum (?g/L)	Nickel (?g/L)	Nitrate-Nitrogen (mg/L)	Nitrite-Nitrogen (mg/L)	Oil and Grease (mg/L)	Orthophosphate Phosphorus (mg/L)	pH	Phaeopigment (mg/m³)	Salinity (psu)	Silica (as SiO?) (mg/L)	Silver (?g/L)	Sulphide (mg/L)	Suspended solids (mg/L)	Thallium (?g/L)	Total Kjeldahl Nitrogen (mg/L)	Total Organic Carbon (mg/L)	Total Phosphorus (mg/L)	Total Solids (mg/L)	Total Volatile Solids (mg/L)	Turbidity (NTU)	Vanadium (?g/L)	Water Temperature (°C)	Zinc (?g/L)	??. ????????  (counts/100mL)
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	1/5/2023	1	0.5	<50	0.036	<0.05	<1	<1	15	<1	150	<0.1	8	590	0.4	<1	2268	3	<0.01	100	9.4	11000	null	0.3	<0.01	<50	<1	<10	<1	<2	2	0.96	0.01	<0.5	0.024	7.6	0.4	1.4	13	<1	<0.02	1.3	<1	0.55	3	0.08	1300	240	1.4	<2	17.9	20	900
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	2/23/2023	1	1.1	<50	0.036	<0.05	<1	<1	15	<1	210	<0.1	7	740	1.4	<1	2262	2	<0.01	100	9.4	12000	null	0.5	<0.01	<50	<1	<10	<1	<2	1	1.2	0.012	<0.5	0.014	7.9	0.6	1.4	9.8	<1	<0.02	1.1	<1	0.37	3	0.05	2300	500	0.8	<2	18	<10	12000
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	3/16/2023	1	1.8	<50	0.069	<0.05	<1	<1	17	<1	180	<0.1	16	500	4.8	<1	1942	2	<0.01	100	8.9	27000	null	0.7	<0.01	<50	<1	<10	<1	<2	2	1.4	0.038	<0.5	0.036	7.9	3.7	1.1	9.8	<1	<0.02	4.6	<1	1.5	6	0.1	1200	200	3.9	<2	20.9	<10	20000
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	4/1/2023	1	1.6	<50	0.031	<0.05	<1	<1	16	<1	160	<0.1	9	420	1.3	<1	1767	2	<0.01	99	8.9	16000	null	0.5	<0.01	<50	<1	<10	<1	<2	2	1.3	0.013	<0.5	0.043	8.3	1	1	13	<1	<0.02	1.1	<1	0.29	3	0.08	1300	240	0.8	<2	20.5	<10	800
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	5/11/2023	1	20	<50	0.27	0.49	<1	<1	15	<1	60	<0.1	33	140	1.3	<1	604	3	<0.01	101	8.6	52000	null	0.6	<0.01	<50	<1	<10	<1	2	2	1.7	0.029	2	0.074	8.3	1.3	0.3	14	<1	<0.02	2	<1	1.4	12	0.14	450	130	1.3	<2	22.8	<10	37000
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	6/15/2023	1	3	180	0.044	0.06	<1	<1	11	<1	<50	<0.1	11	29	0.6	<1	246	3	<0.01	102	8.3	90000	null	0.4	<0.01	80	<1	<10	<1	2	1	1.2	0.021	<0.5	0.017	8	1.1	0.1	18	<1	<0.02	11	<1	0.52	5	0.06	310	110	19.3	<2	25.8	<10	69000
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	7/27/2023	1	0.7	<50	0.016	<0.05	<1	<1	14	<1	60	<0.1	8	150	0.8	<1	728	2	<0.01	99	7.7	20000	null	0.5	<0.01	<50	<1	<10	<1	2	1	0.84	0.006	<0.5	0.049	8.1	0.6	0.3	18	<1	<0.02	1.3	<1	0.34	4	0.06	420	120	1.6	<2	28.3	<10	4200
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	8/24/2023	1	0.8	<50	0.014	<0.05	<1	<1	11	<1	60	<0.1	16	130	0.5	<1	650	2	<0.01	100	7.9	32000	null	0.4	<0.01	100	<1	<10	<1	<2	<1	0.57	0.017	<0.5	0.032	8	0.7	0.3	18	<1	<0.02	2.2	<1	0.27	3	0.05	470	160	2.9	<2	27.3	<10	10000
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	9/23/2023	1	0.9	70	0.031	0.06	<1	<1	8	<1	<50	<0.1	13	43	0.5	<1	271	1	<0.01	101	8	410000	null	0.3	<0.01	130	<1	<10	<1	<2	<1	0.43	0.032	<0.5	0.02	7.7	0.6	0.1	18	<1	<0.02	3.1	<1	0.32	2	0.04	170	24	6.4	<2	27	<10	87000
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	10/19/2023	1	3.1	<50	0.073	0.05	<1	<1	8	<1	<50	<0.1	12	35	1	<1	214	3	<0.01	102	8.5	180000	null	0.3	<0.01	80	<1	<10	<1	<2	1	0.55	0.04	<0.5	0.023	7.9	0.3	0.1	15	<1	<0.02	7.8	<1	0.68	4	0.07	180	66	8	<2	24.5	<10	90000
