"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-𝘢 (mg/m³)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (mg/m³)","Salinity (psu)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)","𝐸. 𝑐𝑜𝑙𝑖  (counts/100mL)"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-01-06","1","3.3","<50","1.1","<0.05","<1","<1","13","<1","62","<0.1","8","70","0.3","<1","283","4","<0.01","100","9","190000","null","0.5","<0.01","101","<1","<10","<1","<2","2","0.81","0.23","<0.5","0.12","7.8","<0.2","0.2","12","<1","<0.02","6","<1","2.4","3","0.16","210","28","3.9","<2","20.4","21","120000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-02-10","1","6.5","<50","2.7","<0.05","<1","<1","14","<1","70","<0.1","17","56","0.2","<1","272","4","<0.01","100","9.5","6600","null","0.4","<0.01","<50","<1","<10","<1","<2","2","0.9","0.3","<0.5","0.14","7.9","2.7","0.2","2.2","<1","<0.02","7.8","<1","4.4","6","0.25","240","120","2.9","<2","17.6","26","3000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-04-07","1","1.2","<50","0.048","<0.05","<1","<1","12","<1","<50","<0.1","6","41","0.8","<1","233","2","<0.01","102","9","23000","null","0.3","<0.01","<50","<1","<10","<1","<2","<1","0.49","0.007","<0.5","0.034","8.1","0.4","0.1","8.6","<1","<0.02","2","<1","0.83","2","0.06","180","92","1.9","<2","21.5","<10","6800"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-05-05","1","0.5","<50","0.059","<0.05","<1","<1","14","<1","<50","<0.1","8","28","0.3","<1","236","2","<0.01","100","8.5","12000","null","0.4","<0.01","<50","<1","<10","<1","<2","<1","0.95","0.022","<0.5","0.032","7.7","1.3","0.1","8.8","<1","<0.02","2","<1","0.43","2","0.06","190","58","0.9","<2","23.6","<10","3000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-06-02","1","0.6","740","0.11","<0.05","<1","<1","10","<1","<50","<0.1","7","16","0.7","<1","164","4","<0.01","100","8","70000","null","0.4","<0.01","126","<1","<10","<1","<2","<1","0.7","0.034","<0.5","0.019","8","0.8","0.1","15","<1","<0.02","1.5","<1","0.34","2","0.05","180","78","5.6","<2","26.6","<10","70000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-07-14","1","1","<50","0.036","<0.05","<1","<1","6","<1","<50","<0.1","6","37","<0.2","<1","227","1","<0.01","100","7.9","410000","null","0.3","<0.01","140","<1","<10","<1","<2","<1","0.36","0.021","<0.5","0.007","7.7","0.8","0.1","15","<1","<0.02","4.4","<1","0.38","1","0.06","130","48","6.9","<2","27.4","<10","260000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-08-04","1","9.6","70","0.23","<0.05","<1","<1","12","<1","<50","<0.1","60","55","4.8","<1","284","8","<0.01","99","7.9","150000","null","0.3","<0.01","120","<1","<10","<1","<2","2","1.7","0.048","<0.5","0.061","7.8","11","0.1","12","<1","<0.02","24","<1","4.4","15","0.33","340","90","15.2","<2","27.2","30","50000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-09-22","1","0.2","<50","0.01","<0.05","<1","<1","8","<1","<50","<0.1","4","54","0.4","<1","321","2","<0.01","100","8","35000","null","0.6","<0.01","90","<1","<10","<1","<2","<1","0.41","0.006","<0.5","0.04","7.7","0.4","0.2","16","<1","<0.02","1.9","<1","0.11","2","0.06","230","91","3.7","<2","26.5","<10","25000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-10-06","1","<0.1","<50","0.034","<0.05","<1","<1","12","<1","<50","<0.1","9","130","1.1","<1","612","2","<0.01","100","8","5700","null","0.3","<0.01","100","<1","<10","<1","<2","<1","0.4","0.029","<0.5","0.016","7.7","0.5","0.3","14","<1","<0.02","1.3","<1","0.27","2","0.05","320","64","3","<2","26.8","<10","3200"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-11-10","1","1","<50","0.022","<0.05","<1","<1","8","<1","50","<0.1","11","200","0.7","<1","760","2","<0.01","101","8.6","60000","null","0.4","<0.01","90","<1","<10","<1","<2","<1","0.33","0.022","<0.5","0.017","7.9","0.5","0.4","18","<1","<0.02","2.6","<1","0.28","2","0.09","460","110","2.7","<2","23.3","<10","41000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-12-17","1","2.5","60","0.12","<0.05","<1","<1","13","<1","70","<0.1","9","200","0.9","<1","642","4","<0.01","101","10.2","13000","null","0.4","<0.01","<50","<1","<10","<1","<2","2","0.54","0.053","<0.5","0.02","8.1","0.5","0.4","13","<1","<0.02","4.4","<1","1.2","4","0.09","1900","250","6","<2","14.8","10","10000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2022-01-06","1","0.2","<50","0.019","<0.05","<1","<1","7","<1","<50","<0.1","3","10","0.6","<1","329","<1","<0.01","103","9.3","8200","0.002","0.4","<0.01","106","<1","<10","<1","<2","<1","0.14","0.003","<0.5","0.02","7.7","<0.2","0.2","14","<1","<0.02","2.2","<1","0.18","1","0.03","130","38","4.2","<2","20.1","13","5700"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2022-02-10","1","6.5","<50","0.014","<0.05","<1","<1","7","<1","<50","<0.1","<2","13","<0.2","<1","233","<1","<0.01","100","9.5","4000","0.004","0.3","<0.01","<50","<1","18","<1","<2","<1","0.075","<0.002","<0.5","0.017","8.2","0.3","0.1","2.7","<1","<0.02","0.7","<1","0.05","<1","0.03","120","77","2.6","<2","17.9","15","2600"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2022-04-07","1","0.5","<50","0.017","<0.05","<1","<1","10","<1","<50","<0.1","2","17","<0.2","<1","239","<1","<0.01","101","8.9","8100","0.003","0.2","<0.01","<50","<1","26","<1","<2","<1","0.32","0.004","<0.5","0.013","8","0.6","0.1","9","<1","<0.02","1.2","<1","0.2","<1","0.03","110","39","2.2","<2","21.4","15","700"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2022-05-05","1","<0.1","<50","0.025","<0.05","<1","<1","12","<1","<50","<0.1","6","48","0.2","<1","212","1","<0.01","100","8.4","3900","0.003","0.3","<0.01","<50","<1","31","<1","<2","<1","0.69","0.008","<0.5","0.029","7.5","0.4","0.1","8.1","<1","<0.02","1.6","<1","0.23","1","0.06","160","58","1.3","<2","24.1","17","2500"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2022-06-02","1","<0.1","<50","0.012","<0.05","<1","<1","7","<1","<50","<0.1","5","<10","0.3","<1","168","1","<0.01","99","8","360000","0.004","0.3","<0.01","150","<1","<10","<1","<2","<1","0.33","0.003","<0.5","0.014","7.8","0.6","0.1","14","<1","<0.02","2.1","<1","0.17","1","0.04","120","78","6.7","<2","26.5","14","350000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2022-07-14","1","0.6","<50","0.006","<0.05","<1","<1","6","<1","<50","<0.1","5","<10","0.4","<1","104","<1","<0.01","98","7.8","44000","0.011","0.3","<0.01","159","<1","<10","<1","<2","<1","0.12","0.011","<0.5","0.004","7.5","0.4","0.1","16","<1","<0.02","5","<1","0.25","1","0.04","140","64","8.2","<2","27","<10","21000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2022-08-04","1","0.9","70","0.018","<0.05","<1","<1","8","<1","<50","<0.1","16","<10","0.6","<1","127","2","<0.01","97","7.9","57000","0.011","0.3","<0.01","300","<1","<10","<1","<2","<1","0.24","0.01","<0.5","0.021","7.3","<0.2","0.1","15","<1","<0.02","7.4","<1","0.4","4","0.07","200","64","10.3","<2","26.2","10","12000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2022-09-22","1","0.2","60","0.01","<0.05","<1","<1","7","<1","<50","<0.1","4","<10","0.4","<1","158","<1","<0.01","102","8.2","25000","0.008","0.3","<0.01","130","<1","10","<1","<2","<1","0.2","0.003","<0.5","0.029","7.6","0.4","0.1","15","<1","<0.02","1.4","<1","0.06","1","0.06","99","40","4.6","<2","26.8","<10","21000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2022-10-06","1","<0.1","50","0.016","<0.05","<1","<1","7","<1","<50","<0.1","6","<10","0.9","<1","148","<1","<0.01","100","8.1","9700","0.012","0.3","<0.01","140","<1","10","<1","<2","<1","0.21","0.008","<0.5","0.015","7.8","0.9","0.1","14","<1","<0.02","1.4","<1","0.2","2","0.05","85","20","4.3","<2","26.5","<10","5200"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2022-11-10","1","0.8","<50","0.016","<0.05","<1","<1","6","<1","<50","<0.1","9","<10","0.5","<1","160","1","<0.01","104","9","73000","0.005","0.3","<0.01","180","<1","<10","<1","<2","<1","0.043","0.01","<0.5","0.008","7.9","<0.2","0.1","18","<1","<0.02","2","<1","0.16","2","0.04","82","66","4.4","<2","22.8","<10","61000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2022-12-17","1","0.1","120","0.01","<0.05","<1","<1","9","<1","<50","<0.1","8","<10","0.3","<1","93","2","<0.01","102","10.4","4200","0.003","0.4","<0.01","120","<1","<10","<1","10","2","0.26","0.01","<0.5","0.013","7.8","<0.2","0.1","16","<1","<0.02","4.8","<1","0.18","2","0.05","65","16","9.7","<2","14.8","10","3000"
"Deep Bay","Ha Pak Nai Stream","DB1","2022-01-03","1","0.1","57","0.024","<0.05","<1","<1","1","<1","<50","<0.1","<2","<10","<0.2","<1","39","<1","<0.01","103","9.7","190","0.028","<0.2","<0.01","60","<1","<10","<1","<2","<1","0.29","<0.002","<0.5","0.005","7.1","<0.2","0","27","<1","<0.02","0.8","<1","0.2","<1","<0.02","98","29","5.5","<2","18.3","<10","49"
"Deep Bay","Ha Pak Nai Stream","DB1","2022-02-24","1","0.5","<50","0.018","<0.05","<1","<1","2","<1","<50","<0.1","2","17","0.3","<1","28","<1","<0.01","101","10.7","740","0.046","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.36","0.021","<0.5","0.019","7.4","<0.2","0","13","<1","<0.02","0.7","<1","<0.05","<1","<0.02","49","19","5.7","<2","13.1","<10","420"
"Deep Bay","Ha Pak Nai Stream","DB1","2022-04-29","1","0.3","57","0.048","<0.05","<1","<1","1","<1","<50","<0.1","6","<10","0.3","<1","48","<1","<0.01","104","8","120","0.058","0.2","<0.01","61","<1","10","<1","<2","<1","0.16","0.011","<0.5","<0.002","7.3","<0.2","0","20","<1","<0.02","0.8","<1","0.22","<1","0.05","67","42","6","<2","28.7","<10","38"
"Deep Bay","Ha Pak Nai Stream","DB1","2022-05-06","1","<0.1","57","0.02","<0.05","<1","<1","2","<1","<50","<0.1","6","<10","<0.2","<1","162","<1","<0.01","101","8.2","340","0.031","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.35","<0.002","<0.5","<0.002","7.4","<0.2","0.1","19","<1","<0.02","1.9","<1","0.14","<1","<0.02","120","52","5.3","<2","25.9","<10","140"
"Deep Bay","Ha Pak Nai Stream","DB1","2022-06-24","1","<0.1","62","0.018","<0.05","<1","<1","2","<1","<50","<0.1","<2","<10","<0.2","<1","45","<1","<0.01","100","7.7","810","0.042","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.42","<0.002","<0.5","0.006","7.4","<0.2","0","20","<1","<0.02","2.6","<1","<0.05","<1","<0.02","75","56","8.6","<2","28.9","<10","110"
"Deep Bay","Ha Pak Nai Stream","DB1","2022-07-06","1","<0.1","55","<0.005","<0.05","<1","<1","2","<1","<50","<0.1","3","<10","<0.2","<1","37","<1","<0.01","100","7.9","3900","0.101","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.46","<0.002","<0.5","0.004","6.9","<0.2","0","17","<1","<0.02","5.3","<1","0.09","<1","<0.02","92","37","8.5","<2","27.1","<10","340"
"Deep Bay","Ha Pak Nai Stream","DB1","2022-08-22","1","<0.1","90","0.014","<0.05","<1","<1","2","<1","<50","<0.1","2","<10","1.4","<1","41","<1","<0.01","100","7.6","1900","0.093","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.48","<0.002","<0.5","0.004","7.1","<0.2","0","19","<1","<0.02","5.8","<1","0.12","<1","0.04","74","20","10.7","<2","29.3","<10","320"
"Deep Bay","Ha Pak Nai Stream","DB1","2022-09-26","1","2.4","120","0.007","<0.05","<1","<1","2","<1","<50","<0.1","<2","<10","1.2","<1","42","<1","<0.01","101","8","2700","0.043","<0.2","<0.01","70","<1","<10","<1","<2","<1","0.34","<0.002","<0.5","0.018","7.1","<0.2","0","22","<1","<0.02","5.4","<1","<0.05","<1","<0.02","63","28","6.6","<2","27.4","<10","290"
"Deep Bay","Ha Pak Nai Stream","DB1","2022-10-24","1","1","80","0.01","<0.05","<1","<1","1","<1","<50","<0.1","<2","<10","1.2","<1","42","<1","<0.01","101","8.3","1700","0.038","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.29","0.003","<0.5","0.007","7.3","<0.2","0","24","<1","<0.02","1.6","<1","0.09","<1","<0.02","89","17","5.2","<2","25.1","<10","53"
"Deep Bay","Ha Pak Nai Stream","DB1","2022-11-04","1","<0.1","70","0.012","<0.05","<1","<1","2","<1","<50","<0.1","2","<10","1.4","<1","41","<1","<0.01","101","8.6","2300","0.02","<0.2","<0.01","70","<1","<10","<1","<2","<1","0.28","<0.002","<0.5","<0.002","7.2","1.4","0","22","<1","<0.02","0.9","<1","0.14","1","0.02","92","53","6.6","<2","23.1","<10","220"
"Deep Bay","Ha Pak Nai Stream","DB1","2022-12-01","1","<0.1","70","0.007","<0.05","<1","<1","2","<1","<50","<0.1","<2","<10","0.4","<1","37","<1","<0.01","101","9.4","1000","0.016","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.28","<0.002","<0.5","0.005","7.3","<0.2","0","24","<1","<0.02","2","<1","0.12","<1","<0.02","51","41","5.2","<2","18.6","<10","390"
"Deep Bay","Tai Shui Hang Stream","DB2","2022-01-03","1","0.2","<50","0.019","<0.05","<1","<1","3","<1","<50","<0.1","<2","28","0.6","<1","140","<1","<0.01","104","9.7","110","0.296","0.2","<0.01","78","<1","29","<1","<2","<1","0.19","<0.002","<0.5","0.008","7.5","<0.2","0.1","27","<1","<0.02","3.1","<1","0.17","<1","0.03","130","20","2.2","<2","18.6","<10","70"
"Deep Bay","Tai Shui Hang Stream","DB2","2022-02-24","1","0.6","<50","0.031","<0.05","<1","<1","2","<1","<50","<0.1","<2","18","1.1","<1","46","<1","<0.01","99","10.5","650","0.636","<0.2","<0.01","50","<1","21","<1","<2","<1","0.43","0.015","<0.5","0.018","7.1","<0.2","0","15","<1","<0.02","6","<1","0.27","<1","0.03","88","48","7.4","<2","13","<10","320"
"Deep Bay","Tai Shui Hang Stream","DB2","2022-04-29","1","2.8","61","0.02","<0.05","<1","<1","3","<1","<50","<0.1","11","<10","1.4","<1","98","2","<0.01","103","7.8","41000","0.051","0.3","<0.01","81","<1","27","<1","<2","<1","0.068","0.005","<0.5","<0.002","8.3","1.9","0","20","<1","<0.02","3.8","<1","0.42","2","0.04","100","52","29.1","<2","30","<10","13000"
"Deep Bay","Tai Shui Hang Stream","DB2","2022-05-06","1","<0.1","<50","0.022","<0.05","<1","<1","4","<1","73","<0.1","6","200","<0.2","<1","3858","<1","<0.01","108","8.5","570","0.286","0.2","<0.01","61","<1","20","<1","<2","<1","0.23","0.003","<0.5","0.005","7.6","1.6","2","19","<1","<0.02","2.4","<1","0.19","<1","<0.02","710","130","3.2","<2","26.9","<10","79"
"Deep Bay","Tai Shui Hang Stream","DB2","2022-06-24","1","<0.1","58","0.007","<0.05","<1","<1","2","<1","<50","<0.1","<2","<10","1.2","<1","64","<1","<0.01","99","7.5","1500","0.52","<0.2","<0.01","156","<1","14","<1","<2","<1","0.3","<0.002","<0.5","0.005","7.4","0.4","0","20","<1","<0.02","1.2","<1","0.12","<1","<0.02","78","54","5","<2","30.5","<10","180"
"Deep Bay","Tai Shui Hang Stream","DB2","2022-07-06","1","<0.1","<50","0.042","<0.05","<1","<1","3","<1","<50","<0.1","7","<10","0.2","<1","48","<1","<0.01","98","7.7","4800","2.04","<0.2","<0.01","59","<1","<10","<1","<2","<1","0.45","<0.002","<0.5","0.005","6.8","<0.2","0","18","<1","<0.02","9.7","<1","0.27","2","<0.02","140","69","12.8","<2","27.7","<10","190"
"Deep Bay","Tai Shui Hang Stream","DB2","2022-08-22","1","<0.1","70","0.016","<0.05","<1","<1","2","<1","<50","<0.1","3","<10","<0.2","<1","51","<1","<0.01","97","7.3","2700","1.296","<0.2","<0.01","110","<1","20","<1","<2","<1","0.4","<0.002","<0.5","0.004","7.2","<0.2","0","20","<1","<0.02","3.6","<1","0.1","<1","0.02","76","22","8.5","<2","30.7","<10","120"
"Deep Bay","Tai Shui Hang Stream","DB2","2022-09-26","1","0.3","<50","0.01","<0.05","<1","<1","8","<1","360","<0.1","2","82","1.8","<1","89","<1","<0.01","101","7.8","3900","0.4","0.3","<0.01","60","<1","40","<1","<2","<1","0.27","0.003","<0.5","0.018","7.2","0.7","0","24","<1","<0.02","6.9","<1","<0.05","<1","<0.02","2900","500","4.4","<2","28.8","<10","900"
"Deep Bay","Tai Shui Hang Stream","DB2","2022-10-24","1","1","<50","0.013","<0.05","<1","<1","2","<1","<50","<0.1","<2","<10","0.3","<1","52","<1","<0.01","100","8.1","900","0.178","0.2","<0.01","<50","<1","10","<1","<2","<1","0.18","<0.002","<0.5","0.006","7.4","<0.2","0","25","<1","<0.02","2.3","<1","0.07","<1","0.02","82","20","3.3","<2","26.1","<10","80"
"Deep Bay","Tai Shui Hang Stream","DB2","2022-11-04","1","0.2","<50","0.017","<0.05","<1","<1","2","<1","<50","<0.1","4","<10","0.4","<1","52","<1","<0.01","97","8.3","2100","0.149","<0.2","<0.01","70","<1","10","<1","<2","<1","0.25","<0.002","<0.5","0.005","7","0.3","0","23","<1","<0.02","0.7","<1","0.14","1","0.03","64","26","3.4","<2","23.5","<10","230"
"Deep Bay","Tai Shui Hang Stream","DB2","2022-12-01","1","0.2","<50","0.013","<0.05","<1","<1","2","<1","<50","<0.1","3","<10","0.5","<1","49","<1","<0.01","99","9.2","800","0.004","0.2","<0.01","60","<1","10","<1","<2","<1","0.15","<0.002","<0.5","0.006","7.3","<0.2","0","25","<1","<0.02","1.3","<1","0.11","<1","<0.02","50","39","2.4","<2","19","<10","180"
"Deep Bay","Pak Nai Stream","DB3","2022-01-03","1","0.6","<50","0.024","<0.05","<1","<1","2","<1","<50","<0.1","<2","<10","0.9","<1","49","<1","<0.01","108","9.9","4800","0.03","<0.2","<0.01","61","<1","33","<1","<2","<1","0.23","0.002","<0.5","0.007","6.8","0.4","0","26","<1","<0.02","1.8","<1","0.16","<1","<0.02","86","22","5.3","<2","19.5","<10","3500"
"Deep Bay","Pak Nai Stream","DB3","2022-02-24","1","0.7","<50","0.03","<0.05","<1","<1","5","<1","<50","<0.1","<2","32","0.5","<1","52","<1","<0.01","98","10.1","470","0.194","<0.2","<0.01","53","<1","68","<1","<2","<1","0.34","0.004","<0.5","0.013","6.9","<0.2","0","15","<1","<0.02","7","<1","0.11","<1","<0.02","90","28","6.7","<2","14","<10","180"
"Deep Bay","Pak Nai Stream","DB3","2022-04-29","1","0.9","<50","0.03","<0.05","<1","<1","3","<1","<50","<0.1","6","<10","0.9","<1","65","<1","<0.01","105","7.8","2200","0.017","0.2","<0.01","62","<1","26","<1","<2","<1","0.099","<0.002","<0.5","<0.002","7","0.8","0","18","<1","<0.02","2.4","<1","0.19","<1","<0.02","68","42","7.1","<2","30.8","<10","490"
"Deep Bay","Pak Nai Stream","DB3","2022-05-06","1","0.2","<50","0.041","<0.05","<1","<1","3","<1","<50","<0.1","7","<10","0.9","<1","66","<1","<0.01","97","7.7","1700","0.05","<0.2","<0.01","67","<1","30","<1","<2","<1","0.23","0.003","<0.5","0.006","7","0.9","0","19","<1","<0.02","58","<1","0.18","1","0.02","150","50","6.1","<2","27.7","<10","150"
"Deep Bay","Pak Nai Stream","DB3","2022-06-24","1","<0.1","<50","0.017","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","<0.2","<1","63","<1","<0.01","97","7.4","2500","0.06","<0.2","<0.01","52","<1","43","<1","<2","<1","0.29","<0.002","<0.5","0.004","6.9","<0.2","0","19","<1","<0.02","4.4","<1","<0.05","<1","<0.02","84","52","6.4","<2","29.5","<10","290"
"Deep Bay","Pak Nai Stream","DB3","2022-07-06","1","<0.1","<50","0.015","<0.05","<1","<1","5","<1","<50","<0.1","4","<10","<0.2","<1","64","<1","<0.01","95","7.5","3100","0.397","<0.2","<0.01","<50","<1","81","<1","<2","<1","0.34","<0.002","<0.5","0.004","6.3","<0.2","0","18","<1","<0.02","13","<1","0.21","<1","<0.02","120","47","10.5","<2","27.6","<10","150"
"Deep Bay","Pak Nai Stream","DB3","2022-08-22","1","<0.1","<50","0.021","<0.05","<1","<1","4","<1","<50","<0.1","4","<10","0.2","<1","68","<1","<0.01","96","7.2","2100","0.298","<0.2","<0.01","70","<1","70","<1","<2","<1","0.35","<0.002","<0.5","0.004","6.9","<0.2","0","20","<1","<0.02","2.2","<1","0.11","<1","0.02","110","38","8.6","<2","30.4","<10","280"
"Deep Bay","Pak Nai Stream","DB3","2022-09-26","1","0.3","<50","0.018","<0.05","<1","<1","3","<1","<50","<0.1","2","<10","<0.2","<1","58","<1","<0.01","98","7.6","4100","0.073","<0.2","<0.01","60","<1","40","<1","<2","<1","0.24","<0.002","<0.5","0.019","6.8","0.3","0","22","<1","<0.02","2","<1","0.06","<1","<0.02","110","80","4.6","<2","28.7","<10","160"
"Deep Bay","Pak Nai Stream","DB3","2022-10-24","1","1.1","<50","0.019","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","2.5","<1","57","<1","<0.01","97","7.9","7300","0.205","<0.2","<0.01","<50","<1","30","<1","<2","<1","0.22","<0.002","<0.5","0.006","7","0.7","0","24","<1","<0.02","23","<1","0.09","<1","0.02","94","16","4.6","<2","26","<10","800"
"Deep Bay","Pak Nai Stream","DB3","2022-11-04","1","0.3","<50","0.021","<0.05","<1","<1","3","<1","<50","<0.1","3","<10","<0.2","<1","52","<1","<0.01","96","8.1","6200","0.194","<0.2","<0.01","60","<1","20","<1","<2","<1","0.21","0.002","<0.5","0.006","7.1","<0.2","0","23","<1","<0.02","1.1","<1","0.12","<1","0.02","57","37","5.8","<2","23.5","<10","550"
"Deep Bay","Pak Nai Stream","DB3","2022-12-01","1","0.2","<50","0.012","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.2","<1","46","<1","<0.01","98","9.1","1100","0.03","<0.2","<0.01","<50","<1","20","<1","<2","<1","0.21","<0.002","<0.5","0.006","7.1","<0.2","0","24","<1","<0.02","1.8","<1","0.08","<1","<0.02","45","34","3.9","<2","18.8","<10","390"
"Deep Bay","Sheung Pak Nai Stream","DB5","2022-01-03","1","0.2","<50","0.042","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","0.5","<1","68","<1","<0.01","107","9.9","490","0.105","<0.2","<0.01","119","<1","31","<1","<2","<1","0.18","0.002","<0.5","0.009","7.1","0.5","0","24","<1","<0.02","1.3","<1","0.23","<1","<0.02","100","12","4.2","<2","18.9","<10","100"
"Deep Bay","Sheung Pak Nai Stream","DB5","2022-02-24","1","0.3","<50","0.058","<0.05","<1","<1","5","<1","<50","<0.1","<2","10","0.7","<1","80","<1","<0.01","100","10.2","450","0.051","<0.2","<0.01","108","<1","69","<1","<2","<1","0.28","0.008","<0.5","0.013","7.1","<0.2","0.1","16","<1","<0.02","2.6","<1","0.2","<1","0.02","68","12","6.9","<2","14.5","<10","180"
"Deep Bay","Sheung Pak Nai Stream","DB5","2022-04-29","1","0.9","<50","0.042","<0.05","<1","<1","4","<1","<50","<0.1","6","<10","0.7","<1","90","<1","<0.01","112","8.5","1800","0.066","0.2","<0.01","120","<1","20","<1","<2","<1","0.058","0.009","<0.5","0.003","7.5","0.7","0","20","<1","<0.02","1.2","<1","0.23","1","0.04","98","83","4.5","<2","29.9","<10","170"
"Deep Bay","Sheung Pak Nai Stream","DB5","2022-05-06","1","0.2","<50","0.033","<0.05","<1","<1","4","<1","<50","<0.1","6","<10","0.6","<1","87","<1","<0.01","103","8.3","1400","0.079","0.2","<0.01","134","<1","43","<1","<2","<1","0.16","0.003","<0.5","0.005","7.3","<0.2","0","18","<1","<0.02","3","<1","0.13","<1","0.02","250","180","5","<2","26.7","<10","200"
"Deep Bay","Sheung Pak Nai Stream","DB5","2022-06-24","1","<0.1","<50","0.016","<0.05","<1","<1","5","<1","<50","<0.1","<2","<10","1.6","<1","85","<1","<0.01","100","7.6","5200","0.114","<0.2","<0.01","88","<1","49","<1","<2","1","0.22","<0.002","<0.5","0.004","7.2","<0.2","0","19","<1","<0.02","<0.5","<1","0.1","<1","<0.02","100","59","7.9","<2","29.6","<10","440"
"Deep Bay","Sheung Pak Nai Stream","DB5","2022-07-06","1","<0.1","<50","0.018","<0.05","<1","<1","2","<1","<50","<0.1","3","<10","0.9","<1","76","<1","<0.01","97","7.5","3500","0.147","<0.2","<0.01","67","<1","57","<1","<2","<1","0.26","0.002","<0.5","0.005","6.8","<0.2","0","19","<1","<0.02","5.8","<1","0.23","<1","<0.02","130","71","14.4","<2","28.2","<10","370"
"Deep Bay","Sheung Pak Nai Stream","DB5","2022-08-22","1","<0.1","<50","0.018","<0.05","<1","<1","6","<1","<50","<0.1","5","<10","0.5","<1","87","<1","<0.01","97","7.2","4800","0.071","<0.2","<0.01","150","<1","60","<1","<2","<1","0.28","<0.002","<0.5","0.004","7.4","<0.2","0","20","<1","<0.02","2.8","<1","0.13","1","<0.02","110","44","11.8","<2","31.3","<10","270"
"Deep Bay","Sheung Pak Nai Stream","DB5","2022-09-26","1","0.7","<50","0.008","<0.05","<1","<1","5","<1","<50","<0.1","8","<10","1.3","<1","78","1","<0.01","93","7.2","48000","0.026","<0.2","<0.01","170","<1","50","<1","<2","<1","0.18","<0.002","<0.5","0.017","6.8","0.4","0","22","<1","<0.02","2","<1","0.06","1","0.02","88","42","5.8","<2","29","<10","470"
