"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-𝘢 (mg/m³)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (mg/m³)","Salinity (psu)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)","𝐸. 𝑐𝑜𝑙𝑖  (counts/100mL)"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2021-03-04","1","2","<50","0.11","<0.05","<1","<1","17","<1","134","<0.1","13","360","1.1","<1","1311","5","<0.01","102","9.3","34000","null","0.5","<0.01","<50","<1","<10","<1","2","2","0.93","0.081","<0.5","0.048","8","1.7","0.7","12","<1","<0.02","3.2","<1","0.77","4","0.07","880","160","2.6","<2","19.7","19","15000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2021-04-15","1","1.4","<50","0.026","<0.05","<1","<1","15","<1","101","<0.1","5","110","0.3","<1","588","3","<0.01","99","8.5","21000","null","0.6","<0.01","<50","<1","<10","<1","<2","2","1.5","0.018","<0.5","0.05","8.2","0.4","0.3","9.9","<1","<0.02","1.7","<1","0.65","2","0.09","390","78","0.8","<2","22.7","<10","1300"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2021-05-20","1","2.3","<50","0.25","<0.05","<1","<1","17","<1","117","<0.1","13","190","1.1","<1","870","5","<0.01","99","7.7","16000","null","0.5","<0.01","<50","<1","<10","<1","<2","2","1.5","0.13","<0.5","0.042","8.4","1.4","0.4","10","<1","<0.02","2.3","<1","","3","","560","140","2.7","<2","28.3","<10","1700"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2021-06-17","1","0.6","<50","0.047","<0.05","<1","<1","19","<1","55","<0.1","11","40","1.7","<1","359","5","<0.01","102","7.9","13000","null","0.6","<0.01","<50","<1","<10","<1","3","2","1.3","0.008","<0.5","0.027","8.6","0.9","0.2","17","<1","<0.02","1.2","<1","","3","","300","81","0.4","<2","28.4","<10","1200"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2021-07-15","1","0.6","<50","0.041","<0.05","<1","<1","20","<1","<50","<0.1","20","71","0.6","<1","472","4","<0.01","99","7.7","15000","null","0.6","<0.01","<50","<1","<10","<1","<2","2","1.4","0.015","<0.5","0.055","8.3","0.8","0.2","13","<1","<0.02","0.9","<1","","4","","240","72","0.5","<2","28.8","<10","2200"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2021-08-09","1","1.9","155","0.024","<0.05","<1","<1","9","<1","<50","<0.1","17","15","0.5","<1","201","3","<0.01","100","7.8","59000","null","0.4","<0.01","204","<1","<10","<1","<2","<1","0.32","0.003","<0.5","0.012","8.1","0.8","0.1","15","<1","<0.02","8.4","<1","","5","","140","65","16.9","<2","27.9","<10","2400"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2021-09-16","1","1.3","<50","0.036","<0.05","<1","<1","13","<1","64","<0.1","8","41","1.6","<1","297","3","<0.01","99","7.6","27000","null","0.5","<0.01","144","<1","<10","<1","<2","2","0.72","0.02","<0.5","0.042","8.2","1.3","0.1","16","<1","0.02","26","<1","","3","","230","72","22.2","<2","28.7","11","5600"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2021-10-22","1","0.4","59","0.066","<0.05","<1","<1","7","<1","<50","<0.1","4","<10","0.5","<1","165","<1","<0.01","102","9.4","120000","null","0.2","<0.01","91","<1","<10","<1","<2","<1","0.39","0.01","<0.5","0.034","8","<0.2","0.1","17","<1","<0.02","2","<1","","2","","130","70","7.1","<2","19.5","<10","34000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2021-11-11","1","0.9","<50","0.18","<0.05","<1","<1","8","<1","57","<0.1","7","70","0.5","<1","141","2","<0.01","101","9.2","32000","null","0.3","<0.01","127","<1","<10","<1","<2","<1","0.64","0.04","<0.5","0.052","7.9","0.4","0.1","17","<1","<0.02","3.7","<1","0.88","3","0.12","170","48","4.7","<2","19.9","<10","19000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2021-12-16","1","1.7","<50","0.23","<0.05","<1","<1","8","<1","<50","<0.1","8","24","0.9","<1","173","3","<0.01","100","8.7","36000","null","0.4","<0.01","139","<1","<10","<1","<2","1","0.5","0.093","<0.5","0.043","7.8","0.8","0.1","16","<1","<0.02","2.4","<1","0.74","3","0.06","170","92","3.4","<2","22.4","12","8400"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2021-03-04","1","1.2","<50","0.062","<0.05","<1","<1","15","<1","<50","<0.1","14","23","1.6","<1","218","4","<0.01","108","9.9","54000","0.001","0.7","<0.01","70","<1","<10","<1","3","<1","0.39","0.028","<0.5","0.03","8.6","1.9","0.1","19","<1","<0.02","1.2","<1","0.48","4","0.05","150","84","1.3","<2","19.4","<10","48000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2021-04-15","1","1.3","<50","0.061","<0.05","<1","<1","10","<1","<50","<0.1","17","13","1.2","<1","205","2","<0.01","116","9.8","89000","null","1","<0.01","<50","<1","<10","<1","3","1","0.008","<0.002","<0.5","0.062","9.6","2.6","0.1","20","<1","<0.02","8.4","<1","0.78","4","0.12","230","59","4.1","<2","23.7","<10","85000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2021-05-20","1","2.2","<50","0.04","<0.05","<1","<1","10","<1","<50","<0.1","19","13","7.3","<1","256","3","<0.01","109","8.5","6300","null","1","<0.01","<50","<1","<10","<1","4","<1","0.018","<0.002","<0.5","0.16","9.3","9","0.1","20","<1","<0.02","14","<1","","6","","180","57","1.3","<2","28.2","<10","4300"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2021-06-17","1","0.7","<50","0.04","<0.05","<1","<1","16","<1","<50","<0.1","9","14","1.5","<1","254","3","<0.01","105","8.2","6400","0","0.6","<0.01","85","<1","19","<1","2","1","0.2","0.006","<0.5","0.015","8.5","1.1","0.1","20","<1","<0.02","2","<1","","3","","220","68","0.9","<2","28.1","<10","430"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2021-07-15","1","0.9","<50","0.018","<0.05","<1","<1","12","<1","<50","<0.1","7","<10","3.3","<1","256","2","<0.01","100","7.7","53000","null","0.7","<0.01","<50","<1","<10","<1","2","<1","0.2","0.002","<0.5","0.29","8.7","1.6","0.1","20","<1","<0.02","19","<1","","3","","140","48","1.5","<2","28.9","<10","45000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2021-08-09","1","0.3","158","0.015","<0.05","<1","<1","7","<1","<50","<0.1","10","<10","0.8","<1","117","2","<0.01","100","7.9","11000","0.023","0.3","<0.01","230","<1","<10","<1","<2","<1","0.14","0.007","<0.5","0.021","7.7","<0.2","0.1","14","<1","<0.02","6.4","<1","","4","","100","45","22.3","<2","27.3","10","3200"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2021-09-16","1","0.6","60","0.017","<0.05","<1","<1","5","<1","<50","<0.1","5","15","2.7","<1","156","3","<0.01","105","8.2","25000","0.001","0.4","<0.01","221","2","<10","<1","<2","<1","0.26","0.003","<0.5","0.032","8.4","1.2","0.1","18","<1","<0.02","83","<1","","3","","210","78","68.1","<2","28.2","<10","14000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2021-10-22","1","0.2","81","0.024","<0.05","<1","<1","6","<1","<50","<0.1","4","<10","<0.2","<1","190","1","<0.01","102","9.2","28000","0.005","0.3","<0.01","143","<1","<10","<1","<2","<1","0.13","0.002","<0.5","0.02","7.9","<0.2","0.1","18","<1","<0.02","3.4","<1","","1","","75","54","9","<2","20.2","10","26000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2021-11-11","1","0.3","68","0.023","<0.05","<1","<1","5","<1","<50","<0.1","5","<10","0.2","<1","143","<1","<0.01","101","9.3","39000","0.014","0.3","<0.01","169","<1","<10","<1","<2","<1","0.16","0.003","<0.5","0.028","7.8","<0.2","0.1","18","<1","<0.02","3.9","<1","0.43","1","0.1","140","62","7.3","<2","19.5","<10","27000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2021-12-16","1","0.3","59","0.027","<0.05","<1","<1","7","<1","<50","<0.1","5","<10","0.8","<1","243","1","<0.01","102","8.8","30000","0.003","0.4","<0.01","217","<1","<10","<1","<2","<1","0.14","0.005","<0.5","0.017","7.7","<0.2","0.1","17","<1","<0.02","5.2","<1","0.34","2","0.03","500","220","5.4","<2","22.3","14","23000"
"Deep Bay","Ha Pak Nai Stream","DB1","2021-03-15","1","0.6","<50","0.015","<0.05","<1","<1","2","<1","<50","<0.1","<2","<10","<0.2","<1","45","<1","<0.01","100","8.7","100","0.013","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.32","<0.002","<0.5","0.007","8.5","<0.2","0","23","<1","<0.02","2","<1","0.13","<1","<0.02","58","36","5.2","<2","22.5","38","18"
"Deep Bay","Ha Pak Nai Stream","DB1","2021-04-23","1","<0.1","<50","0.019","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","0.7","<1","54","<1","<0.01","102","8","330","0.001","0.3","<0.01","<50","<1","<10","<1","<2","<1","0.22","<0.002","<0.5","0.007","7.9","<0.2","0","20","<1","<0.02","1.7","<1","0.25","<1","<0.02","38","20","3.6","<2","27.8","<10","11"
