"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-𝘢 (mg/m³)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (mg/m³)","Salinity (psu)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)","𝐸. 𝑐𝑜𝑙𝑖  (counts/100mL)"
"Deep Bay","Ha Pak Nai Stream","DB1","2021-05-13","1","<0.1","<50","0.014","<0.05","<1","<1","2","<1","<50","<0.1","<2","14","0.3","<1","58","<1","<0.01","100","7.6","220","0.002","0.2","<0.01","<50","<1","<10","<1","<2","<1","0.46","<0.002","<0.5","0.008","7.7","<0.2","0","24","<1","<0.02","2.4","<1","","<1","","92","48","6.7","<2","29.5","<10","8"
"Deep Bay","Ha Pak Nai Stream","DB1","2021-06-23","1","0.1","89","0.028","<0.05","<1","<1","2","<1","<50","<0.1","3","<10","0.3","<1","47","<1","<0.01","99","7.8","3600","0.021","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.71","<0.002","<0.5","0.003","7.7","0.5","0","18","<1","<0.02","4.2","<1","","2","","64","31","16.7","<2","28","<10","320"
"Deep Bay","Ha Pak Nai Stream","DB1","2021-07-23","1","<0.1","90","0.014","<0.05","<1","<1","2","<1","<50","<0.1","4","13","<0.2","<1","47","<1","<0.01","99","7.5","880","0.023","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.6","<0.002","<0.5","0.003","7.7","1.1","0","19","<1","<0.02","3.5","<1","","1","","64","36","8.8","<2","30","<10","90"
"Deep Bay","Ha Pak Nai Stream","DB1","2021-08-26","1","0.1","73","0.024","<0.05","<1","<1","1","<1","<50","<0.1","<2","11","0.4","<1","46","<1","<0.01","100","7.5","410","0.008","0.2","<0.01","<50","<1","<10","<1","<2","<1","0.36","0.002","<0.5","0.004","7.7","<0.2","0","21","<1","<0.02","3.6","<1","","<1","","140","41","7.4","<2","30.5","<10","37"
"Deep Bay","Ha Pak Nai Stream","DB1","2021-09-06","1","<0.1","108","0.022","<0.05","<1","<1","2","<1","<50","<0.1","<2","15","14","<1","44","<1","<0.01","101","7.7","1600","0.062","<0.2","<0.01","53","<1","<10","<1","<2","<1","0.43","<0.002","<0.5","<0.002","7.3","8.9","0","19","<1","<0.02","5","<1","","<1","","1400","1300","21.4","<2","29.3","<10","250"
"Deep Bay","Ha Pak Nai Stream","DB1","2021-10-25","1","0.6","51","0.02","<0.05","<1","<1","2","<1","<50","<0.1","<2","<10","<0.2","<1","37","<1","<0.01","101","8.8","310","0.032","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.5","<0.002","<0.5","0.005","7.6","<0.2","0","20","<1","<0.02","1.5","<1","","<1","","50","34","6","<2","22.1","<10","32"
"Deep Bay","Ha Pak Nai Stream","DB1","2021-11-22","1","<0.1","65","0.024","<0.05","<1","<1","2","<1","<50","<0.1","<2","<10","0.3","<1","40","1","<0.01","100","9.1","900","0.032","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.42","<0.002","<0.5","<0.002","7.4","0.3","0","20","<1","<0.02","1.7","<1","0.27","<1","0.04","66","32","5.3","<2","20.3","<10","280"
"Deep Bay","Ha Pak Nai Stream","DB1","2021-12-17","1","<0.1","<50","0.013","<0.05","<1","<1","2","<1","<50","<0.1","<2","<10","0.3","<1","44","<1","<0.01","101","9","200","0.019","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.43","<0.002","<0.5","<0.002","7.5","<0.2","0","26","<1","<0.02","12","<1","0.17","<1","<0.02","90","58","4.1","<2","20.9","<10","58"
"Deep Bay","Tai Shui Hang Stream","DB2","2021-03-15","1","0.7","222","0.018","<0.05","<1","<1","4","<1","<50","<0.1","4","18","4.4","<1","77","1","<0.01","102","8.6","3000","0.099","0.3","<0.01","263","1","29","<1","<2","<1","0.072","<0.002","<0.5","0.007","8.7","1.9","0","22","<1","<0.02","10","<1","0.38","2","0.04","77","20","11.9","<2","23.9","<10","65"
"Deep Bay","Tai Shui Hang Stream","DB2","2021-04-23","1","0.9","<50","0.047","<0.05","<1","<1","4","<1","<50","<0.1","5","<10","0.6","<1","97","1","<0.01","89","7","5600","0","0.3","<0.01","107","<1","<10","<1","<2","<1","0.044","<0.002","<0.5","0.004","7.8","1.5","0","20","<1","<0.02","14","<1","0.33","2","<0.02","130","28","11.9","<2","28","<10","380"
"Deep Bay","Tai Shui Hang Stream","DB2","2021-05-13","1","5","<50","0.23","<0.05","<1","1","25","<1","1614","<0.1","16","7100","13","1","18924","3","<0.01","99","7","5600","0.032","0.6","<0.01","<50","<1","16","<1","6","5","0.6","0.054","<0.5","0.021","7.9","4.3","9.9","9.5","<1","<0.02","19","<1","","4","","19000","6900","10.9","<2","30.9","<10","700"
"Deep Bay","Tai Shui Hang Stream","DB2","2021-06-23","1","0.4","107","0.039","<0.05","<1","<1","5","<1","<50","<0.1","9","<10","0.3","<1","82","<1","<0.01","95","7.5","5400","0.486","<0.2","<0.01","50","<1","41","<1","<2","<1","0.93","0.003","<0.5","0.005","7.8","0.8","0","20","<1","<0.02","7.8","<1","","3","","91","47","22.6","<2","27.9","<10","590"
"Deep Bay","Tai Shui Hang Stream","DB2","2021-07-23","1","0.2","<50","0.034","<0.05","<1","<1","27","<1","84","<0.1","6","250","<0.2","<1","1217","1","<0.01","94","6.9","4200","0.456","<0.2","<0.01","<50","<1","85","<1","<2","<1","0.61","<0.002","<0.5","0.008","7.4","<0.2","0.5","20","<1","<0.02","4.6","<1","","3","","680","220","9.3","<2","30.9","<10","110"
"Deep Bay","Tai Shui Hang Stream","DB2","2021-08-26","1","0.3","<50","0.027","<0.05","<1","<1","2","<1","<50","<0.1","5","<10","1.9","<1","73","<1","<0.01","108","8","2700","0.67","0.3","<0.01","163","<1","47","<1","<2","<1","0.2","<0.002","<0.5","<0.002","7.8","0.2","0","23","<1","<0.02","3.4","<1","","1","","240","34","5.1","<2","31.6","<10","1500"
"Deep Bay","Tai Shui Hang Stream","DB2","2021-09-06","1","0.1","58","0.028","<0.05","<1","<1","4","<1","<50","<0.1","4","10","0.9","<1","84","1","<0.01","102","7.7","6200","0.318","0.2","<0.01","140","<1","91","<1","<2","<1","0.34","0.005","<0.5","<0.002","7.6","0.2","0","21","<1","<0.02","11","<1","","1","","390","250","23.9","<2","30.2","<10","480"
"Deep Bay","Tai Shui Hang Stream","DB2","2021-10-25","1","0.7","51","0.025","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","7.9","<1","59","<1","<0.01","102","8.7","730","0.488","<0.2","<0.01","<50","<1","47","<1","<2","<1","0.34","<0.002","<0.5","0.005","7.7","<0.2","0","20","<1","<0.02","3.1","<1","","<1","","69","42","5.7","<2","23.2","<10","74"
"Deep Bay","Tai Shui Hang Stream","DB2","2021-11-22","1","<0.1","<50","0.048","<0.05","<1","<1","2","<1","<50","<0.1","2","<10","0.4","<1","61","<1","<0.01","97","8.8","390","0.344","0.2","<0.01","<50","<1","26","<1","<2","<1","0.25","<0.002","<0.5","<0.002","7.5","0.5","0","23","<1","<0.02","5.3","<1","0.19","1","0.03","92","55","3.6","<2","20.1","<10","110"
"Deep Bay","Tai Shui Hang Stream","DB2","2021-12-17","1","1.1","<50","0.015","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","0.5","<1","86","<1","<0.01","101","9","420","0.304","0.2","<0.01","74","<1","21","<1","<2","<1","0.19","<0.002","<0.5","0.003","8","0.5","0","27","<1","<0.02","1.4","<1","0.1","<1","<0.02","170","140","3.1","<2","21.2","<10","70"
"Deep Bay","Pak Nai Stream","DB3","2021-03-15","1","0.3","264","0.009","<0.05","<1","<1","3","<1","<50","<0.1","<2","21","1.7","<1","53","2","<0.01","108","8.9","760","0.039","0.2","<0.01","80","<1","<10","<1","<2","<1","0.22","<0.002","<0.5","0.007","7.7","0.5","0","22","<1","<0.02","7","<1","0.17","<1","<0.02","69","19","6.6","<2","25.1","<10","270"
"Deep Bay","Pak Nai Stream","DB3","2021-04-23","1","1","<50","0.03","<0.05","<1","<1","2","<1","<50","<0.1","<2","<10","1.1","<1","65","<1","<0.01","118","8.9","11000","0.007","0.3","<0.01","<50","<1","<10","<1","<2","<1","0.1","<0.002","<0.5","0.004","7.9","1.4","0","19","<1","<0.02","2.7","<1","0.33","<1","<0.02","82","54","3.8","<2","30.2","<10","9400"
"Deep Bay","Pak Nai Stream","DB3","2021-05-13","1","0.4","<50","0.022","<0.05","<1","<1","4","<1","<50","<0.1","<2","16","2.8","<1","71","<1","<0.01","118","8.8","2100","0.006","0.2","<0.01","<50","<1","25","<1","<2","<1","0.24","<0.002","<0.5","0.008","8","3.7","0","23","<1","<0.02","7.2","<1","","<1","","110","49","9.2","<2","31","<10","330"
"Deep Bay","Pak Nai Stream","DB3","2021-06-23","1","0.2","<50","0.032","<0.05","<1","<1","4","<1","<50","<0.1","3","<10","<0.2","<1","74","<1","<0.01","91","7.1","2700","0.033","<0.2","<0.01","<50","<1","39","<1","<2","<1","0.53","<0.002","<0.5","0.006","7.1","1","0","20","<1","<0.02","3.6","<1","","1","","76","28","13.2","<2","28.5","<10","340"
"Deep Bay","Pak Nai Stream","DB3","2021-07-23","1","<0.1","<50","0.026","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","<0.2","<1","80","<1","<0.01","94","7","2600","0.161","<0.2","<0.01","<50","<1","36","<1","<2","<1","0.43","<0.002","<0.5","0.005","7","<0.2","0","20","<1","<0.02","3.7","<1","","<1","","76","60","8.4","<2","30.8","<10","80"
"Deep Bay","Pak Nai Stream","DB3","2021-08-26","1","0.2","<50","0.028","<0.05","<1","<1","2","<1","<50","<0.1","<2","<10","0.2","<1","65","<1","<0.01","97","7.1","6500","0.06","<0.2","<0.01","<50","<1","26","<1","<2","<1","0.26","<0.002","<0.5","0.005","7.2","<0.2","0","21","<1","<0.02","3.1","<1","","<1","","460","32","8.7","<2","31.4","<10","85"
"Deep Bay","Pak Nai Stream","DB3","2021-09-06","1","<0.1","<50","0.031","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.2","<1","63","<1","<0.01","96","7.1","7500","0.027","<0.2","<0.01","<50","<1","32","<1","<2","<1","0.34","<0.002","<0.5","<0.002","6.7","0.4","0","19","<1","<0.02","3.8","<1","","<1","","140","32","17.3","<2","30.7","<10","260"
"Deep Bay","Pak Nai Stream","DB3","2021-10-25","1","0.7","<50","0.028","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","<0.2","<1","56","<1","<0.01","97","8.3","1700","0.038","<0.2","<0.01","<50","<1","38","<1","<2","<1","0.38","<0.002","<0.5","0.005","7","<0.2","0","21","<1","<0.02","3.9","<1","","<1","","64","42","6.6","<2","23.5","<10","210"
"Deep Bay","Pak Nai Stream","DB3","2021-11-22","1","0.1","<50","0.031","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.4","<1","45","<1","<0.01","96","8.7","4100","0.065","<0.2","<0.01","<50","<1","21","<1","<2","<1","0.33","<0.002","<0.5","<0.002","6.7","0.2","0","20","<1","<0.02","3.7","<1","0.16","<1","0.04","70","34","7.4","<2","20","<10","1000"
"Deep Bay","Pak Nai Stream","DB3","2021-12-17","1","0.5","<50","0.018","<0.05","<1","<1","3","<1","<50","<0.1","8","<10","0.5","<1","48","<1","<0.01","98","8.6","2600","0.022","<0.2","<0.01","<50","<1","14","<1","<2","<1","0.23","<0.002","<0.5","0.003","7.1","0.4","0","26","<1","<0.02","2.9","<1","0.17","3","<0.02","98","58","8.2","<2","21.6","<10","460"
"Deep Bay","Sheung Pak Nai Stream","DB5","2021-03-15","1","1.4","290","0.035","<0.05","<1","<1","3","<1","<50","<0.1","3","<10","0.9","<1","55","<1","<0.01","107","9.1","19000","0.061","<0.2","<0.01","324","<1","55","<1","<2","<1","0.12","0.003","<0.5","0.007","7.6","<0.2","0","22","<1","<0.02","5.9","<1","0.33","2","0.03","58","18","17.9","<2","23.6","<10","1700"
"Deep Bay","Sheung Pak Nai Stream","DB5","2021-04-23","1","1.4","56","0.045","<0.05","<1","<1","<1","<1","<50","<0.1","5","<10","0.4","<1","58","<1","<0.01","127","9.5","3400","0.014","0.2","<0.01","156","<1","13","<1","<2","2","0.038","<0.002","<0.5","0.004","8.8","2.4","0","19","<1","<0.02","9.8","<1","0.25","2","<0.02","92","63","14.6","<2","30.4","<10","110"
"Deep Bay","Sheung Pak Nai Stream","DB5","2021-05-13","1","0.8","<50","0.054","<0.05","<1","<1","2","<1","<50","<0.1","3","14","1","<1","67","<1","<0.01","107","7.9","10000","0.002","0.2","<0.01","134","<1","30","<1","<2","<1","0.14","<0.002","<0.5","0.006","7.6","0.9","0","23","<1","<0.02","15","<1","","2","","120","63","20.2","<2","31.7","<10","190"
"Deep Bay","Sheung Pak Nai Stream","DB5","2021-06-23","1","0.2","<50","0.095","<0.05","<1","<1","4","<1","<50","<0.1","3","<10","<0.2","<1","74","<1","<0.01","94","7.4","35000","0.042","<0.2","<0.01","<50","<1","66","<1","<2","<1","0.43","0.003","<0.5","0.01","7.1","<0.2","0","20","<1","<0.02","3.8","<1","","1","","84","32","20","<2","27.8","<10","8000"
"Deep Bay","Sheung Pak Nai Stream","DB5","2021-07-23","1","0.9","<50","0.057","<0.05","<1","<1","5","<1","<50","<0.1","6","<10","<0.2","<1","118","<1","<0.01","90","6.7","53000","0.056","<0.2","<0.01","142","<1","63","<1","2","<1","0.3","0.004","<0.5","0.005","7","<0.2","0.1","19","<1","<0.02","6.4","<1","","2","","90","64","12.5","<2","30.8","<10","370"
"Deep Bay","Sheung Pak Nai Stream","DB5","2021-08-26","1","0.5","<50","0.054","<0.05","<1","<1","4","<1","<50","<0.1","8","<10","0.3","<1","102","<1","<0.01","98","7.3","5300","0.078","<0.2","<0.01","226","<1","60","<1","<2","<1","0.19","0.003","<0.5","0.003","7.1","0.3","0","20","<1","<0.02","5","<1","","1","","160","50","10.7","<2","30.8","<10","800"
"Deep Bay","Sheung Pak Nai Stream","DB5","2021-09-06","1","<0.1","<50","0.061","<0.05","<1","<1","5","<1","<50","<0.1","3","<10","0.4","<1","117","<1","<0.01","97","7.4","3500","0.038","<0.2","<0.01","106","<1","63","<1","3","<1","0.25","0.008","<0.5","<0.002","7.3","<0.2","0.1","18","<1","<0.02","13","<1","","1","","190","54","23.1","<2","29.6","<10","190"
"Deep Bay","Sheung Pak Nai Stream","DB5","2021-10-25","1","2.7","<50","0.041","<0.05","<1","<1","5","<1","<50","<0.1","5","<10","0.6","<1","87","<1","<0.01","91","7.6","30000","0.108","<0.2","<0.01","87","<1","46","<1","<2","<1","0.26","0.005","<0.5","0.007","6.8","<0.2","0","20","<1","<0.02","5","<1","","1","","70","42","7.7","<2","24.4","<10","610"
"Deep Bay","Sheung Pak Nai Stream","DB5","2021-11-22","1","0.4","<50","0.057","<0.05","<1","<1","4","<1","<50","<0.1","5","<10","1.1","<1","75","<1","<0.01","97","8.8","3400","0.106","<0.2","<0.01","121","<1","49","<1","<2","<1","0.25","0.007","<0.5","<0.002","6.9","0.4","0","20","<1","<0.02","3.6","<1","0.18","1","0.03","76","28","6.9","<2","20","<10","800"
"Deep Bay","Sheung Pak Nai Stream","DB5","2021-12-17","1","0.2","<50","0.025","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.6","<1","73","<1","<0.01","103","9","1700","0.145","<0.2","<0.01","107","<1","24","<1","<2","<1","0.19","0.004","<0.5","<0.002","7.2","0.6","0","25","<1","<0.02","2.8","<1","0.1","<1","<0.02","100","50","6.5","<2","21.5","<10","190"
"Deep Bay","Ngau Hom Sha Stream","DB6","2021-03-15","1","4.2","128","0.087","<0.05","<1","<1","3","<1","<50","<0.1","12","34","11","<1","175","1","<0.01","100","8.1","2000","0.109","0.2","<0.01","94","<1","19","<1","<2","<1","0.004","0.004","<0.5","0.04","7.4","2.3","0.1","19","<1","0.03","12","<1","0.7","4","0.13","140","54","13.7","<2","25.7","<10","130"
