Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001-Search Product,Chrome 131.0.0.0,,,29-11-2024 18:36:08,29-11-2024 18:48:59,12m - 51.172s,PASSED
,,,,,,,
Test Cases/COOLMATE-002/TC001-Searching products as an unauthenticated user,Chrome 131.0.0.0,,,29-11-2024 18:36:08,29-11-2024 18:37:04,55.365s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,29-11-2024 18:36:08,29-11-2024 18:36:08,0.012s,PASSED
common.UtilKeyword.openURL(),Chrome 131.0.0.0,Open Coolmate,,29-11-2024 18:36:09,29-11-2024 18:36:18,9.813s,PASSED
"""==========================As an unauthenticated user,  entering  valid keys to search related products=========================""",Chrome 131.0.0.0,,,29-11-2024 18:36:18,29-11-2024 18:36:18,0.001s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box,,29-11-2024 18:36:18,29-11-2024 18:36:18,0.091s,PASSED
delay(4),Chrome 131.0.0.0,,,29-11-2024 18:36:18,29-11-2024 18:36:22,4.013s,PASSED
"sendKeys(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""input-spotlight""]), validSearchKeywords)",Chrome 131.0.0.0,Enter valid search keywords,,29-11-2024 18:36:22,29-11-2024 18:36:23,0.047s,PASSED
delay(10),Chrome 131.0.0.0,,,29-11-2024 18:36:23,29-11-2024 18:36:33,10.009s,PASSED
"common.UtilKeyword.takeScreenShot(""unauthen_valid_search"")",Chrome 131.0.0.0,,,29-11-2024 18:36:33,29-11-2024 18:36:33,0.269s,PASSED
"searchResults = findWebElements(findTestObject(""Object Repository/pages/home_page/product_search_result""), 10)",Chrome 131.0.0.0,Verify that all results match the valid search keywords,,29-11-2024 18:36:33,29-11-2024 18:36:33,0.023s,PASSED
searchKeywordsText = common.TextUtilKeyword.removeAccents(validSearchKeywords.toLowerCase()),Chrome 131.0.0.0,,,29-11-2024 18:36:33,29-11-2024 18:36:33,0.012s,PASSED
"searchResults.eachWithIndex({ org.openqa.selenium.WebElement element, int index -> ... })",Chrome 131.0.0.0,,,29-11-2024 18:36:33,29-11-2024 18:36:33,0.065s,PASSED
"markPassed(""All results match the valid search keyword ""searchKeywords"""")",Chrome 131.0.0.0,,,29-11-2024 18:36:33,29-11-2024 18:36:33,0.001s,PASSED
delay(5),Chrome 131.0.0.0,Return to Home Page,,29-11-2024 18:36:33,29-11-2024 18:36:38,5.015s,PASSED
"click(findTestObject(""Object Repository/common/properties/Class/rel-script_and_contains_class"", [""rel-script"":""spotlight-search-close"", ""class"":""homepage-search__submit""]))",Chrome 131.0.0.0,,,29-11-2024 18:36:38,29-11-2024 18:36:38,0.054s,PASSED
delay(3),Chrome 131.0.0.0,,,29-11-2024 18:36:38,29-11-2024 18:36:41,3.016s,PASSED
"""===============================Entering invalid keys to search related products=================================""",Chrome 131.0.0.0,,,29-11-2024 18:36:41,29-11-2024 18:36:41,0.001s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box one more time,,29-11-2024 18:36:41,29-11-2024 18:36:41,0.091s,PASSED
delay(4),Chrome 131.0.0.0,,,29-11-2024 18:36:41,29-11-2024 18:36:45,4.017s,PASSED
"sendKeys(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""input-spotlight""]), invalidSearchKeywords)",Chrome 131.0.0.0,Enter invalid search keywords,,29-11-2024 18:36:45,29-11-2024 18:36:45,0.036s,PASSED
delay(10),Chrome 131.0.0.0,,,29-11-2024 18:36:45,29-11-2024 18:36:55,10.015s,PASSED
"common.UtilKeyword.takeScreenShot(""unauthen_invalid_search"")",Chrome 131.0.0.0,,,29-11-2024 18:36:55,29-11-2024 18:36:55,0.260s,PASSED
"if (waitForElementVisible(findTestObject(""Object Repository/common/properties/Text/contains_text"", [""text"":""Không tìm thấy kết quả phù hợp!""]), 10))",Chrome 131.0.0.0,"The system shows the message: ""Không tìm thấy kết quả phù hợp!"" when entering invalid search keywords",,29-11-2024 18:36:55,29-11-2024 18:36:55,0.030s,PASSED
delay(5),Chrome 131.0.0.0,Return to Home Page,,29-11-2024 18:36:55,29-11-2024 18:37:00,5.004s,PASSED
"click(findTestObject(""Object Repository/common/properties/Class/rel-script_and_contains_class"", [""rel-script"":""spotlight-search-close"", ""class"":""homepage-search__submit""]))",Chrome 131.0.0.0,,,29-11-2024 18:37:00,29-11-2024 18:37:01,0.049s,PASSED
delay(3),Chrome 131.0.0.0,,,29-11-2024 18:37:01,29-11-2024 18:37:04,3.013s,PASSED
closeBrowser(),Chrome 131.0.0.0,Close browser,,29-11-2024 18:37:04,29-11-2024 18:37:04,0.205s,PASSED
,,,,,,,
Test Cases/COOLMATE-002/TC001-Searching products as an unauthenticated user,Chrome 131.0.0.0,,,29-11-2024 18:37:04,29-11-2024 18:37:56,52.090s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,29-11-2024 18:37:04,29-11-2024 18:37:04,0.002s,PASSED
common.UtilKeyword.openURL(),Chrome 131.0.0.0,Open Coolmate,,29-11-2024 18:37:04,29-11-2024 18:37:11,6.905s,PASSED
"""==========================As an unauthenticated user,  entering  valid keys to search related products=========================""",Chrome 131.0.0.0,,,29-11-2024 18:37:11,29-11-2024 18:37:11,0.000s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box,,29-11-2024 18:37:11,29-11-2024 18:37:11,0.060s,PASSED
delay(4),Chrome 131.0.0.0,,,29-11-2024 18:37:11,29-11-2024 18:37:15,4.011s,PASSED
"sendKeys(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""input-spotlight""]), validSearchKeywords)",Chrome 131.0.0.0,Enter valid search keywords,,29-11-2024 18:37:15,29-11-2024 18:37:15,0.037s,PASSED
delay(10),Chrome 131.0.0.0,,,29-11-2024 18:37:15,29-11-2024 18:37:25,10.004s,PASSED
"common.UtilKeyword.takeScreenShot(""unauthen_valid_search"")",Chrome 131.0.0.0,,,29-11-2024 18:37:25,29-11-2024 18:37:25,0.213s,PASSED
"searchResults = findWebElements(findTestObject(""Object Repository/pages/home_page/product_search_result""), 10)",Chrome 131.0.0.0,Verify that all results match the valid search keywords,,29-11-2024 18:37:25,29-11-2024 18:37:25,0.017s,PASSED
searchKeywordsText = common.TextUtilKeyword.removeAccents(validSearchKeywords.toLowerCase()),Chrome 131.0.0.0,,,29-11-2024 18:37:25,29-11-2024 18:37:25,0.001s,PASSED
"searchResults.eachWithIndex({ org.openqa.selenium.WebElement element, int index -> ... })",Chrome 131.0.0.0,,,29-11-2024 18:37:25,29-11-2024 18:37:25,0.055s,PASSED
"markPassed(""All results match the valid search keyword ""searchKeywords"""")",Chrome 131.0.0.0,,,29-11-2024 18:37:25,29-11-2024 18:37:25,0.001s,PASSED
delay(5),Chrome 131.0.0.0,Return to Home Page,,29-11-2024 18:37:25,29-11-2024 18:37:30,5.008s,PASSED
"click(findTestObject(""Object Repository/common/properties/Class/rel-script_and_contains_class"", [""rel-script"":""spotlight-search-close"", ""class"":""homepage-search__submit""]))",Chrome 131.0.0.0,,,29-11-2024 18:37:30,29-11-2024 18:37:30,0.074s,PASSED
delay(3),Chrome 131.0.0.0,,,29-11-2024 18:37:30,29-11-2024 18:37:33,3.009s,PASSED
"""===============================Entering invalid keys to search related products=================================""",Chrome 131.0.0.0,,,29-11-2024 18:37:33,29-11-2024 18:37:33,0.000s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box one more time,,29-11-2024 18:37:33,29-11-2024 18:37:33,0.064s,PASSED
delay(4),Chrome 131.0.0.0,,,29-11-2024 18:37:33,29-11-2024 18:37:37,4.010s,PASSED
