Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001-Address Book,Chrome 132.0.0.0,,,11-02-2025 23:51:38,11-02-2025 23:55:15,3m - 36.840s,PASSED
,,,,,,,
Test Cases/COOLMATE-005/TC001-Add new address and set default,Chrome 132.0.0.0,,,11-02-2025 23:51:39,11-02-2025 23:52:55,1m - 15.912s,PASSED
Start listener action : beforeTestCase,Chrome 132.0.0.0,,,11-02-2025 23:51:39,11-02-2025 23:51:39,0.032s,PASSED
Start setup action : setupTestCase,Chrome 132.0.0.0,,,11-02-2025 23:51:39,11-02-2025 23:52:30,51.460s,PASSED
"enhancedClick(findTestObject(""Object Repository/common/icon/user_icon""))",Chrome 132.0.0.0,Go to address book,,11-02-2025 23:52:31,11-02-2025 23:52:31,0.260s,PASSED
delay(2),Chrome 132.0.0.0,,,11-02-2025 23:52:31,11-02-2025 23:52:33,2.086s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/pages/home_page/go_to_account""), 10)",Chrome 132.0.0.0,,,11-02-2025 23:52:33,11-02-2025 23:52:33,0.045s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/go_to_account""))",Chrome 132.0.0.0,,,11-02-2025 23:52:33,11-02-2025 23:52:35,1.568s,PASSED
"common.UtilKeyword.waitForPageLoadAndDelay(20, 3)",Chrome 132.0.0.0,,,11-02-2025 23:52:35,11-02-2025 23:52:38,3.041s,PASSED
"scrollToElement(findTestObject(""Object Repository/common/a/a_text"", [""text"":""Thông tin tài khoản""]), 10)",Chrome 132.0.0.0,,,11-02-2025 23:52:38,11-02-2025 23:52:38,0.089s,PASSED
delay(2),Chrome 132.0.0.0,,,11-02-2025 23:52:38,11-02-2025 23:52:40,2.010s,PASSED
"click(findTestObject(""Object Repository/common/a/a_text"", [""text"":""Sổ địa chỉ""]))",Chrome 132.0.0.0,,,11-02-2025 23:52:40,11-02-2025 23:52:40,0.209s,PASSED
delay(2),Chrome 132.0.0.0,,,11-02-2025 23:52:40,11-02-2025 23:52:42,2.006s,PASSED
"scrollToElement(findTestObject(""Object Repository/common/button/button_contains_text"", [""text"":""thêm địa chỉ mới""]), 10)",Chrome 132.0.0.0,,,11-02-2025 23:52:42,11-02-2025 23:52:42,0.056s,PASSED
"click(findTestObject(""Object Repository/common/button/button_contains_text"", [""text"":""thêm địa chỉ mới""]))",Chrome 132.0.0.0,,,11-02-2025 23:52:42,11-02-2025 23:52:42,0.195s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/common/div/div_class"", [""class"":""address-book-form""]), 10)",Chrome 132.0.0.0,=============Add a new address to the address book with all valid information and set it as default===========,,11-02-2025 23:52:42,11-02-2025 23:52:43,0.421s,PASSED
"setText(findTestObject(""Object Repository/common/input/input_name"", [""name"":""address""]), suggestedAddress)",Chrome 132.0.0.0,Enter address and wait for other data fields to be automatically filled,,11-02-2025 23:52:43,11-02-2025 23:52:43,0.269s,PASSED
delay(5),Chrome 132.0.0.0,,,11-02-2025 23:52:43,11-02-2025 23:52:48,5.010s,PASSED
"click(findTestObject(""Object Repository/common/div/div_text"", [""text"":address]))",Chrome 132.0.0.0,,,11-02-2025 23:52:48,11-02-2025 23:52:48,0.122s,PASSED
delay(3),Chrome 132.0.0.0,,,11-02-2025 23:52:48,11-02-2025 23:52:51,3.024s,PASSED
"click(findTestObject(""Object Repository/common/span/span_contains_text"", [""text"":""Thêm""]))",Chrome 132.0.0.0,,,11-02-2025 23:52:51,11-02-2025 23:52:51,0.200s,PASSED
"common.UtilKeyword.handleToastMessage(""Lưu địa chỉ thành công!"", 10)",Chrome 132.0.0.0,Handle Toast Message,,11-02-2025 23:52:51,11-02-2025 23:52:52,0.738s,PASSED
"common.UtilKeyword.takeScreenShot(""add_address_successfully"")",Chrome 132.0.0.0,Take Screenshot,,11-02-2025 23:52:52,11-02-2025 23:52:52,0.350s,PASSED
delay(2),Chrome 132.0.0.0,Close browser,,11-02-2025 23:52:52,11-02-2025 23:52:54,2.006s,PASSED
closeBrowser(),Chrome 132.0.0.0,,,11-02-2025 23:52:54,11-02-2025 23:52:55,0.403s,PASSED
,,,,,,,
Test Cases/COOLMATE-005/TC002-Update address,Chrome 132.0.0.0,,,11-02-2025 23:52:55,11-02-2025 23:54:08,1m - 13.418s,PASSED
Start listener action : beforeTestCase,Chrome 132.0.0.0,,,11-02-2025 23:52:55,11-02-2025 23:52:55,0.006s,PASSED
Start setup action : setupTestCase,Chrome 132.0.0.0,,,11-02-2025 23:52:55,11-02-2025 23:53:44,49.663s,PASSED
"enhancedClick(findTestObject(""Object Repository/common/icon/user_icon""))",Chrome 132.0.0.0,Go to address book,,11-02-2025 23:53:45,11-02-2025 23:53:45,0.151s,PASSED
delay(2),Chrome 132.0.0.0,,,11-02-2025 23:53:45,11-02-2025 23:53:47,2.012s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/pages/home_page/go_to_account""), 10)",Chrome 132.0.0.0,,,11-02-2025 23:53:47,11-02-2025 23:53:47,0.042s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/go_to_account""))",Chrome 132.0.0.0,,,11-02-2025 23:53:47,11-02-2025 23:53:48,1.464s,PASSED
"common.UtilKeyword.waitForPageLoadAndDelay(20, 3)",Chrome 132.0.0.0,,,11-02-2025 23:53:48,11-02-2025 23:53:51,3.033s,PASSED
