Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001-Update Account Info,Chrome 131.0.0.0,,,13-12-2024 14:54:10,13-12-2024 15:01:44,7m - 34.380s,PASSED
,,,,,,,
Test Cases/COOLMATE-003/TC002-Update with invalid phone number,Chrome 131.0.0.0,,,13-12-2024 14:54:10,13-12-2024 14:55:10,59.720s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,13-12-2024 14:54:10,13-12-2024 14:54:10,0.012s,PASSED
"common.UtilKeyword.openURLAndAuthenticate(username_bao, password_bao)",Chrome 131.0.0.0,Open and authenticate,,13-12-2024 14:54:11,13-12-2024 14:54:43,32.337s,PASSED
"enhancedClick(findTestObject(""Object Repository/common/icon/user icon""))",Chrome 131.0.0.0,Go to account infomation page,,13-12-2024 14:54:43,13-12-2024 14:54:43,0.076s,PASSED
delay(2),Chrome 131.0.0.0,,,13-12-2024 14:54:43,13-12-2024 14:54:45,2.008s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/pages/home_page/go_to_account""), 10)",Chrome 131.0.0.0,,,13-12-2024 14:54:45,13-12-2024 14:54:45,0.022s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/go_to_account""))",Chrome 131.0.0.0,,,13-12-2024 14:54:45,13-12-2024 14:54:48,3.009s,PASSED
"common.UtilKeyword.waitForPageLoadAndDelay(20, 3)",Chrome 131.0.0.0,,,13-12-2024 14:54:48,13-12-2024 14:54:51,3.020s,PASSED
"click(findTestObject(""Object Repository/pages/account_page/update_acc_info_button""))",Chrome 131.0.0.0,Update account with invalid phone number,,13-12-2024 14:54:51,13-12-2024 14:54:51,0.061s,PASSED
delay(2),Chrome 131.0.0.0,,,13-12-2024 14:54:51,13-12-2024 14:54:53,2.012s,PASSED
"executeJavaScript(""let input = document.getElementsByName('phone')[0]; input.focus(); input.value = arguments[0]; input.dispatchEvent(new Event('input'));"", Arrays.asList(phoneNumber))",Chrome 131.0.0.0,,,13-12-2024 14:54:53,13-12-2024 14:54:53,0.022s,PASSED
"click(findTestObject(""Object Repository/common/button/button_class"", [""class"":""btn account-info__btn account-info__btn--full""]))",Chrome 131.0.0.0,,,13-12-2024 14:54:53,13-12-2024 14:54:53,0.062s,PASSED
delay(2),Chrome 131.0.0.0,,,13-12-2024 14:54:53,13-12-2024 14:54:55,2.009s,PASSED
"errMessObject = findTestObject(""Object Repository/common/span/span_class"", [""class"":""error-text""])",Chrome 131.0.0.0,,,13-12-2024 14:54:55,13-12-2024 14:54:55,0.003s,PASSED
verifyElementVisible(errMessObject),Chrome 131.0.0.0,,,13-12-2024 14:54:55,13-12-2024 14:54:55,0.025s,PASSED
actualErrMess = getText(errMessObject),Chrome 131.0.0.0,,,13-12-2024 14:54:55,13-12-2024 14:54:55,0.023s,PASSED
if (actualErrMess.equals(expectedErrMess)),Chrome 131.0.0.0,Verify error message for invalid phone number,,13-12-2024 14:54:55,13-12-2024 14:54:55,0.174s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/common/span/id_span_class"", [""id"":""info-tab"", ""class"":""close-popup""]))",Chrome 131.0.0.0,Return account information page,,13-12-2024 14:54:55,13-12-2024 14:54:55,0.023s,PASSED
"click(findTestObject(""Object Repository/common/span/id_span_class"", [""id"":""info-tab"", ""class"":""close-popup""]))",Chrome 131.0.0.0,,,13-12-2024 14:54:55,13-12-2024 14:54:55,0.047s,PASSED
delay(2),Chrome 131.0.0.0,,,13-12-2024 14:54:55,13-12-2024 14:54:57,2.017s,PASSED
"if (waitForElementVisible(findTestObject(""Object Repository/common/span/id_span_class"", [""id"":""info-tab"", ""class"":""close-popup""]), 5, OPTIONAL))",Chrome 131.0.0.0,,,13-12-2024 14:54:57,13-12-2024 14:55:03,6.006s,PASSED
common.UtilKeyword.logOutAndClose(),Chrome 131.0.0.0,Logout and close,,13-12-2024 14:55:03,13-12-2024 14:55:10,6.544s,PASSED
,,,,,,,
Test Cases/COOLMATE-003/TC002-Update with invalid phone number,Chrome 131.0.0.0,,,13-12-2024 14:55:10,13-12-2024 14:56:08,58.006s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,13-12-2024 14:55:10,13-12-2024 14:55:10,0.002s,PASSED
"common.UtilKeyword.openURLAndAuthenticate(username_bao, password_bao)",Chrome 131.0.0.0,Open and authenticate,,13-12-2024 14:55:10,13-12-2024 14:55:41,30.783s,PASSED
"enhancedClick(findTestObject(""Object Repository/common/icon/user icon""))",Chrome 131.0.0.0,Go to account infomation page,,13-12-2024 14:55:41,13-12-2024 14:55:41,0.068s,PASSED
delay(2),Chrome 131.0.0.0,,,13-12-2024 14:55:41,13-12-2024 14:55:43,2.007s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/pages/home_page/go_to_account""), 10)",Chrome 131.0.0.0,,,13-12-2024 14:55:43,13-12-2024 14:55:43,0.016s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/go_to_account""))",Chrome 131.0.0.0,,,13-12-2024 14:55:43,13-12-2024 14:55:45,1.622s,PASSED
"common.UtilKeyword.waitForPageLoadAndDelay(20, 3)",Chrome 131.0.0.0,,,13-12-2024 14:55:45,13-12-2024 14:55:48,3.014s,PASSED
"click(findTestObject(""Object Repository/pages/account_page/update_acc_info_button""))",Chrome 131.0.0.0,Update account with invalid phone number,,13-12-2024 14:55:48,13-12-2024 14:55:48,0.088s,PASSED
delay(2),Chrome 131.0.0.0,,,13-12-2024 14:55:48,13-12-2024 14:55:50,2.015s,PASSED
"executeJavaScript(""let input = document.getElementsByName('phone')[0]; input.focus(); input.value = arguments[0]; input.dispatchEvent(new Event('input'));"", Arrays.asList(phoneNumber))",Chrome 131.0.0.0,,,13-12-2024 14:55:50,13-12-2024 14:55:50,0.015s,PASSED
"click(findTestObject(""Object Repository/common/button/button_class"", [""class"":""btn account-info__btn account-info__btn--full""]))",Chrome 131.0.0.0,,,13-12-2024 14:55:50,13-12-2024 14:55:50,0.052s,PASSED
delay(2),Chrome 131.0.0.0,,,13-12-2024 14:55:50,13-12-2024 14:55:52,2.014s,PASSED
"errMessObject = findTestObject(""Object Repository/common/span/span_class"", [""class"":""error-text""])",Chrome 131.0.0.0,,,13-12-2024 14:55:52,13-12-2024 14:55:52,0.002s,PASSED
verifyElementVisible(errMessObject),Chrome 131.0.0.0,,,13-12-2024 14:55:52,13-12-2024 14:55:52,0.020s,PASSED
actualErrMess = getText(errMessObject),Chrome 131.0.0.0,,,13-12-2024 14:55:52,13-12-2024 14:55:52,0.015s,PASSED
if (actualErrMess.equals(expectedErrMess)),Chrome 131.0.0.0,Verify error message for invalid phone number,,13-12-2024 14:55:52,13-12-2024 14:55:52,0.118s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/common/span/id_span_class"", [""id"":""info-tab"", ""class"":""close-popup""]))",Chrome 131.0.0.0,Return account information page,,13-12-2024 14:55:52,13-12-2024 14:55:52,0.017s,PASSED
"click(findTestObject(""Object Repository/common/span/id_span_class"", [""id"":""info-tab"", ""class"":""close-popup""]))",Chrome 131.0.0.0,,,13-12-2024 14:55:52,13-12-2024 14:55:52,0.044s,PASSED
delay(2),Chrome 131.0.0.0,,,13-12-2024 14:55:52,13-12-2024 14:55:54,2.017s,PASSED
"if (waitForElementVisible(findTestObject(""Object Repository/common/span/id_span_class"", [""id"":""info-tab"", ""class"":""close-popup""]), 5, OPTIONAL))",Chrome 131.0.0.0,,,13-12-2024 14:55:54,13-12-2024 14:56:00,6.004s,PASSED
common.UtilKeyword.logOutAndClose(),Chrome 131.0.0.0,Logout and close,,13-12-2024 14:56:00,13-12-2024 14:56:08,8.056s,PASSED
,,,,,,,
Test Cases/COOLMATE-003/TC002-Update with invalid phone number,Chrome 131.0.0.0,,,13-12-2024 14:56:08,13-12-2024 14:57:05,57.360s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,13-12-2024 14:56:08,13-12-2024 14:56:08,0.001s,PASSED
"common.UtilKeyword.openURLAndAuthenticate(username_bao, password_bao)",Chrome 131.0.0.0,Open and authenticate,,13-12-2024 14:56:08,13-12-2024 14:56:39,30.621s,PASSED
"enhancedClick(findTestObject(""Object Repository/common/icon/user icon""))",Chrome 131.0.0.0,Go to account infomation page,,13-12-2024 14:56:39,13-12-2024 14:56:39,0.065s,PASSED
delay(2),Chrome 131.0.0.0,,,13-12-2024 14:56:39,13-12-2024 14:56:41,2.002s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/pages/home_page/go_to_account""), 10)",Chrome 131.0.0.0,,,13-12-2024 14:56:41,13-12-2024 14:56:41,0.014s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/go_to_account""))",Chrome 131.0.0.0,,,13-12-2024 14:56:41,13-12-2024 14:56:42,1.227s,PASSED
"common.UtilKeyword.waitForPageLoadAndDelay(20, 3)",Chrome 131.0.0.0,,,13-12-2024 14:56:42,13-12-2024 14:56:45,3.018s,PASSED
"click(findTestObject(""Object Repository/pages/account_page/update_acc_info_button""))",Chrome 131.0.0.0,Update account with invalid phone number,,13-12-2024 14:56:45,13-12-2024 14:56:45,0.058s,PASSED
delay(2),Chrome 131.0.0.0,,,13-12-2024 14:56:45,13-12-2024 14:56:47,2.005s,PASSED
"executeJavaScript(""let input = document.getElementsByName('phone')[0]; input.focus(); input.value = arguments[0]; input.dispatchEvent(new Event('input'));"", Arrays.asList(phoneNumber))",Chrome 131.0.0.0,,,13-12-2024 14:56:47,13-12-2024 14:56:47,0.011s,PASSED
"click(findTestObject(""Object Repository/common/button/button_class"", [""class"":""btn account-info__btn account-info__btn--full""]))",Chrome 131.0.0.0,,,13-12-2024 14:56:47,13-12-2024 14:56:47,0.057s,PASSED
delay(2),Chrome 131.0.0.0,,,13-12-2024 14:56:47,13-12-2024 14:56:49,2.012s,PASSED
"errMessObject = findTestObject(""Object Repository/common/span/span_class"", [""class"":""error-text""])",Chrome 131.0.0.0,,,13-12-2024 14:56:49,13-12-2024 14:56:49,0.001s,PASSED
verifyElementVisible(errMessObject),Chrome 131.0.0.0,,,13-12-2024 14:56:49,13-12-2024 14:56:49,0.020s,PASSED
actualErrMess = getText(errMessObject),Chrome 131.0.0.0,,,13-12-2024 14:56:49,13-12-2024 14:56:49,0.016s,PASSED
if (actualErrMess.equals(expectedErrMess)),Chrome 131.0.0.0,Verify error message for invalid phone number,,13-12-2024 14:56:49,13-12-2024 14:56:49,0.118s,PASSED
