Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementVisible(findTestObject(""Object Repository/common/div/div_class"", [""class"":""address-book-form""]), 10)",Chrome 132.0.0.0,==========Update a address with all valid information in the address book========,,09-02-2025 22:49:55,09-02-2025 22:49:55,0.328s,PASSED
"setText(findTestObject(""Object Repository/common/input/input_name"", [""name"":""address""]), suggestedAddress)",Chrome 132.0.0.0,Update address fields,,09-02-2025 22:49:55,09-02-2025 22:49:55,0.163s,PASSED
delay(5),Chrome 132.0.0.0,,,09-02-2025 22:49:55,09-02-2025 22:50:01,5.009s,PASSED
"click(findTestObject(""Object Repository/common/div/div_text"", [""text"":updatedAddress]))",Chrome 132.0.0.0,,,09-02-2025 22:50:01,09-02-2025 22:50:01,0.067s,PASSED
delay(3),Chrome 132.0.0.0,,,09-02-2025 22:50:01,09-02-2025 22:50:04,3.016s,PASSED
"click(findTestObject(""Object Repository/common/span/span_contains_text"", [""text"":""Lưu""]))",Chrome 132.0.0.0,,,09-02-2025 22:50:04,09-02-2025 22:50:04,0.142s,PASSED
"common.UtilKeyword.handleToastMessage(""Cập nhật địa chỉ thành công!"", 10)",Chrome 132.0.0.0,Handle Toast Message,,09-02-2025 22:50:04,09-02-2025 22:50:04,0.609s,PASSED
"common.UtilKeyword.takeScreenShot(""update_address_successfully"")",Chrome 132.0.0.0,Take Screenshot,,09-02-2025 22:50:04,09-02-2025 22:50:04,0.120s,PASSED
closeBrowser(),Chrome 132.0.0.0,Close browser,,09-02-2025 22:50:04,09-02-2025 22:50:06,1.224s,PASSED
,,,,,,,
Test Cases/COOLMATE-005/TC003-Delete address,Chrome 132.0.0.0,,,09-02-2025 22:50:06,09-02-2025 22:52:01,1m - 55.696s,PASSED
Start listener action : beforeTestCase,Chrome 132.0.0.0,,,09-02-2025 22:50:06,09-02-2025 22:50:06,0.005s,PASSED
Start setup action : setupTestCase,Chrome 132.0.0.0,,,09-02-2025 22:50:06,09-02-2025 22:50:54,48.672s,PASSED
"common.UtilKeyword.openURLAndAuthenticate(username_bao, password_bao)",Chrome 132.0.0.0,Go to Coolmate Web and authenticate,,09-02-2025 22:50:54,09-02-2025 22:51:45,50.490s,PASSED
"enhancedClick(findTestObject(""Object Repository/common/icon/user_icon""))",Chrome 132.0.0.0,Go to address book,,09-02-2025 22:51:45,09-02-2025 22:51:45,0.188s,PASSED
delay(2),Chrome 132.0.0.0,,,09-02-2025 22:51:45,09-02-2025 22:51:47,2.011s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/pages/home_page/go_to_account""), 10)",Chrome 132.0.0.0,,,09-02-2025 22:51:47,09-02-2025 22:51:47,0.041s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/go_to_account""))",Chrome 132.0.0.0,,,09-02-2025 22:51:47,09-02-2025 22:51:49,1.578s,PASSED
"common.UtilKeyword.waitForPageLoadAndDelay(20, 3)",Chrome 132.0.0.0,,,09-02-2025 22:51:49,09-02-2025 22:51:52,3.051s,PASSED
"scrollToElement(findTestObject(""Object Repository/common/a/a_text"", [""text"":""Thông tin tài khoản""]), 10)",Chrome 132.0.0.0,,,09-02-2025 22:51:52,09-02-2025 22:51:52,0.054s,PASSED
delay(2),Chrome 132.0.0.0,,,09-02-2025 22:51:52,09-02-2025 22:51:54,2.024s,PASSED
"click(findTestObject(""Object Repository/common/a/a_text"", [""text"":""Sổ địa chỉ""]))",Chrome 132.0.0.0,,,09-02-2025 22:51:54,09-02-2025 22:51:54,0.206s,PASSED
delay(5),Chrome 132.0.0.0,,,09-02-2025 22:51:54,09-02-2025 22:51:59,5.054s,PASSED
"scrollToElement(findTestObject(""Object Repository/common/button/button_contains_text"", [""text"":""Xóa""]), 10)",Chrome 132.0.0.0,==========Delete an address in the address book========,,09-02-2025 22:51:59,09-02-2025 22:51:59,0.073s,PASSED
"click(findTestObject(""Object Repository/common/button/button_contains_text"", [""text"":""Xóa""]))",Chrome 132.0.0.0,,,09-02-2025 22:51:59,09-02-2025 22:52:00,0.678s,PASSED
"common.UtilKeyword.handleToastMessage(""Xoá địa chỉ thành công!"", 10)",Chrome 132.0.0.0,Handle Toast Message,,09-02-2025 22:52:00,09-02-2025 22:52:01,0.844s,PASSED
"common.UtilKeyword.takeScreenShot(""delete_address_successfully"")",Chrome 132.0.0.0,Take Screenshot,,09-02-2025 22:52:01,09-02-2025 22:52:01,0.200s,PASSED
closeBrowser(),Chrome 132.0.0.0,Close browser,,09-02-2025 22:52:01,09-02-2025 22:52:01,0.392s,PASSED
